업체명,지역,업종,주소,전화번호,썸네일
삼고집 파주본점,파주시,"육류,고기요리",경기 파주시 탄현면 새오리로 106,031-8071-3350,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20230721_213%2F1689928341473TSfDH_JPEG%2F1b125c15-27a1-11ee-8224-a0369ffac2a8_03.jpg
약선마을,파주시,"해물,생선요리",경기 파주시 광탄면 부흥로 133 1층 약선마을식당,0507-1474-3256,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180706_47%2F1530845382987fOkd7_JPEG%2FRhgOoD6cpByr0ROYhj16pCqS.JPG.jpg
옛날시골밥상,파주시,한정식-일반,경기 파주시 탄현면 새오리로 110 옛날시골밥상,0507-1373-5957,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231114_171%2F1699946582259mTkzM_JPEG%2F1_%25BF%25DC%25B0%25FC_%252876%2529.JPG
온고집,파주시,한식,경기 파주시 탄현면 필승로 506 온고집,031-947-3590,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240508_255%2F1715157291545GJSij_JPEG%2F1.JPG
킴스하우스 파주야당점,파주시,한식,경기 파주시 경의로 1050 센트럴파크리움 112호,0507-1342-2147,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230105_151%2F1672893921771KNYPL_JPEG%2F1672893726274-7.jpg
오백년 누룽지백숙 운정점,파주시,"백숙,삼계탕",경기 파주시 경의로 1070,0507-1374-9245,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160121_206%2F1453346537146lYjLn_JPEG%2F176071525236121_0.jpg
업스테어키친 파주운정본점,파주시,이탈리아음식,경기 파주시 청암로17번길 35 라온프라자 4층 403호,0507-1421-1510,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230915_151%2F1694778898097gGYKO_JPEG%2FKakaoTalk_20230913_230831120_12.jpg
든든덮밥&곱도리 파주야당점,파주시,한식,경기 파주시 경의로 1068 삼융프라자 106호,0507-1366-4326,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231116_253%2F1700137398153gAsAG_JPEG%2F1.jpg
버거와이낫,파주시,햄버거,경기 파주시 가람로21번길 61-20 101호,070-4833-9872,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240313_56%2F1710329988214Xya8X_JPEG%2FIMG_3349.jpeg
장단콩두부촌,파주시,두부요리,경기 파주시 탄현면 새오리로 15,0507-1389-6267,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240229_236%2F1709169795532aPPdr_PNG%2F20240229_102039.png
파주돌짜장,파주시,중식당,경기 파주시 운정로 129 파주돌짜장,031-944-4845,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180114_47%2F1515935352210VtBWd_JPEG%2FG3p3ygtz9PwAM0gwkCkT5UGI.JPG.jpg
말똥도넛 디저트타운 파주점,파주시,"카페,디저트",경기 파주시 지목로 137 말똥도넛,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211207_212%2F1638875776825aQfAC_JPEG%2FIMG_7058_2.jpg
꼬들,파주시,돼지고기구이,경기 파주시 문산읍 문향로39번길 45 꼬들,0507-1319-9592,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221004_291%2F1664853261603XVYV0_JPEG%2F1664852903132.jpg
흑사당,파주시,"카페,디저트",경기 파주시 탄현면 헤이리마을길 37-10 파주카페,070-4143-2000,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20240605_282%2F1717579693427CQFcQ_JPEG%2Fjrpw5LKsty_03.jpg
먹보한우 파주점,파주시,소고기구이,경기 파주시 지목로 43 101~105호,0507-1362-9955,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20230916_283%2F1694828498463P6Bz7_JPEG%2F2b86657d-5432-11ee-b3ec-80615f0bcf30_03.jpg
짹짹곳간,파주시,"카페,디저트",경기 파주시 탄현면 헤이리마을길 16 2층 빙수핫플,0507-1364-8187,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240410_233%2F1712725944709u3dIG_JPEG%2F20240409_164244.jpg
용천옥 순대국 파주 심학산 본점,파주시,"순대,순댓국",경기 파주시 교하로 599,0507-1348-2549,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20240619_214%2F1718804406926MhqnM_JPEG%2F38LN2d3qaT_03.jpg
내사랑동까스,파주시,돈가스,경기 파주시 송학말길 65 1충,031-945-4800,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190529_94%2F1559098569363tlxDI_JPEG%2FEBjnB1imqsDsnGOjX3DSTXb6.jpg
오야스미 파주점,파주시,"초밥,롤",경기 파주시 가나무로 143 112호,031-944-6555,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180517_92%2F15265382841029Pa1l_JPEG%2FY_oQ97TiYbo6LqF9qFdZzqbt.jpg
앤조이터키,파주시,터키음식,경기 파주시 탄현면 헤이리마을길 37-33 앤조이터키,0507-1479-3541,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220725_92%2F16587076781370z71T_JPEG%2F1652439413321.jpg
심학산 홍두깨 손칼국수,파주시,"칼국수,만두",경기 파주시 돌곶이길 8-43 심학산 홍두깨 손칼국수,031-957-8585,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230818_284%2F16923292164488n8SU_JPEG%2FKakaoTalk_20230818_112116627.jpg
인도레스토랑 그레이,파주시,인도음식,경기 파주시 경의로 1114 에펠타워 10층,0507-1311-9135,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180806_188%2F1533485275007Vv6lM_JPEG%2FQ_0fhrTQ4x3TN1cgXMY3sOoO.jpeg.jpg
기절고기국수,파주시,국수,경기 파주시 송학1길 135-3 지하층,0507-1419-5339,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211117_264%2F1637137108855wdGAx_JPEG%2F20211117_165349.jpg
육미향 파주직영점,파주시,"육류,고기요리",경기 파주시 교하로159번길 32 1층,0507-1317-1856,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240611_235%2F1718085221333yyHCD_JPEG%2FKakaoTalk_20240611_142234992_26.jpg
산내칡냉면 본점,파주시,냉면,경기 파주시 심학산로423번길 12-18,031-943-9222,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181126_253%2F1543216388886um35z_JPEG%2FmNHVtl7HTYwHmFpZl7O9EMMz.jpg
임진각샘뜰두부집,파주시,두부요리,경기 파주시 문산읍 사목로 227 샘뜰두부집,0507-1421-8010,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231123_288%2F1700749252198CBo3c_JPEG%2FIMG_9015.jpeg
르시랑스,파주시,베이커리,경기 파주시 탄현면 헤이리마을길 66,031-945-9340,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211119_111%2F1637285890539amgFs_JPEG%2FKakaoTalk_20211118_152130556.jpg
창삼덕 돌판오리구이,파주시,오리요리,경기 파주시 천정구로 31-8,031-942-8852,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240309_173%2F17099639101232ODYn_JPEG%2FScreenshot_20240309_145803_Samsung_Internet.jpg
샹배베이커리 본점,파주시,베이커리,경기 파주시 가온로 284 104호 샹배베이커리,031-945-4077,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231013_74%2F1697173046836PpdC3_JPEG%2F718865671.624299.jpeg
금성회관 파주야당점,파주시,"육류,고기요리","경기 파주시 소리천로 39 117, 118, 119호",0507-1399-2272,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20231229_74%2F17038450607675YAWW_JPEG%2F7e7b59b8-a633-11ee-aa26-a0369ffb31f0_03.jpg
캠핑하는오리 파주,파주시,오리요리,경기 파주시 탄현면 요풍길 88 캠핑하는오리,0507-1415-1740,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231211_225%2F1702273202348VNQpF_JPEG%2F%25C1%25D6%25B9%25B0%25B7%25B0.jpg
어라운드에잇,파주시,베이커리,경기 파주시 법원읍 초리골길 280 어라운드8,0507-1441-0035,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240413_134%2F1712970456974kRpBl_JPEG%2FIMG_6925.jpeg
파파1215 본점,평택시,양식,경기 평택시 비전2로 216 2층 PAPA1215,0507-1303-1215,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240528_113%2F1716870607717peDTp_JPEG%2F%25BF%25AC%25C3%25E2_%252811%2529.jpg
화로양미 평택법원점,평택시,양갈비,경기 평택시 비전2로 16 201호,0507-1337-9904,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240610_113%2F1718000545031VT5ix_PNG%2F%25C8%25AD%25B7%25CE%25BE%25E7%25B9%25CC-%25BC%25D2%25C1%25D6%25B8%25C6%25C1%25D6-300%25BF%25F8-001.png
노란돼지집 평택 본점,평택시,"육류,고기요리",경기 평택시 현신로 104 1층 노란돼지집,031-651-0604,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231218_7%2F1702865326645u7soq_JPEG%2FKakaoTalk_20231218_104442629.jpg
고래몽,평택시,이자카야,경기 평택시 비전5로 20-45 좋은프라자2차 2층,0507-1312-9025,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231018_230%2F1697635654111eC9Dj_JPEG%2FIMG_6589.jpeg
인기명 평택소사벌점,평택시,"해물,생선요리",경기 평택시 비전4로 47 강일빌딩 1층,031-652-1952,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190717_68%2F1563350470181YvexD_JPEG%2FJwxMtFIfEj2Rhy0eEDKN3JYn.jpg
옥된장 평택고덕점,평택시,한식,경기 평택시 고덕중앙로 200-33 1층 107호~108호,0507-1324-5402,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20240126_249%2F1706264262662zhS1G_JPEG%2F21012b91-bc34-11ee-b953-a0369ffda614_03.jpg
한우진곱창,평택시,"곱창,막창,양",경기 평택시 비전5로 20-37,031-652-3393,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230825_237%2F16929653871787wrIz_JPEG%2FBT9A0494.JPG
한우명가촌 평택본점,평택시,소고기구이,경기 평택시 청룡길 146-8,0507-1306-9186,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231031_233%2F1698742143081PlfrH_JPEG%2F20230407_151725.jpg
경성진갈비 안중점,평택시,"육류,고기요리",경기 평택시 안중읍 안현로서2길 6 1층,0507-1497-9302,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240425_190%2F1714024079950gGPWt_JPEG%2F20240222_144031.jpg
서양밥집,평택시,이탈리아음식,경기 평택시 안중읍 송담2로 55 1층 101호,0507-1341-0162,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240223_163%2F1708620780049o7BdN_JPEG%2F7B00E369-B8CE-472C-8B84-0342E042EE52.jpeg
오롯이스시,평택시,"초밥,롤",경기 평택시 비전5로 20-24 1동 2층 203호,0507-1470-2368,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240611_163%2F1718086018462TCXI1_JPEG%2FIMG_0936.jpeg
압구정편의점 평택송탄점,평택시,요리주점,경기 평택시 특구로23번길 18 2층 압구정편의점,0507-1455-1668,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20240522_93%2F1716366885993lohDh_JPEG%2F34u9I4BuG5_03.jpg
보약정 추어명가 추어탕 돈까스,평택시,한식,"경기 평택시 고덕여염9길 20 101, 102, 103, 104, 107, 108, 109, 110호",0507-1358-2236,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240102_206%2F1704180735477iB9Jg_JPEG%2F%25B4%25EB%25C7%25A5%25C0%25CC%25B9%25CC%25C1%25F6.jpg
엘피노323,평택시,"멕시코,남미음식",경기 평택시 고덕갈평9길 76 1층,0507-1408-6248,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220602_55%2F1654131183735Koz6A_JPEG%2F%25BF%25A4%25C7%25C7%25B4%25A2_%252828%2529.jpg
영천칡냉면 평택본점,평택시,냉면,경기 평택시 평택로88번길 19,031-655-3040,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180427_105%2F1524792593733T6xY4_JPEG%2FLYczIpjdVTEvOVC40NgDhTsn.jpg
하누팜 본점,평택시,소고기구이,경기 평택시 평택3로 19 2층,031-651-6692,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231019_229%2F1697683308213nAhLn_JPEG%2F%25C7%25D1%25BF%25EC%25B8%25F0%25B5%25EB.jpg
청담닭개장,평택시,한식,경기 평택시 현덕면 서동대로 1262,031-682-1330,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210529_79%2F1622269545680p7DV3_JPEG%2FgMRxvvwenaxxn9yh-EuigZMi.jpg
현대그린푸드 텍사스로드하우스 험프리점,평택시,패밀리레스토랑,경기 평택시 팽성읍 안정순환로 118 미군 부대 내 위치,0503-357-2299,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190806_164%2F1565060154294E738o_JPEG%2FQS6-6OyEgW5ssceB176xn5EH.jpg
달토끼짬뽕 평택본점,평택시,중식당,경기 평택시 비전9길 2-30 1층,0507-1306-1487,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210109_252%2F1610182960261SaqlX_JPEG%2FpM_FXMvh2rC7fn_GCDKlWFyp.jpeg.jpg
텐독스,평택시,"카페,디저트",경기 평택시 팽성읍 계양로 752 텐독스,031-618-6569,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210918_135%2F1631953253519FeJUU_JPEG%2Fmchs53X3DPUDyzAosva5w2o7.jpg
호성식당,평택시,게요리,경기 평택시 포승읍 연암길 87,031-681-7786,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA4MDlfMTUz%2FMDAxNjkxNTYxMDQ0MjQx.uRraIhdmH1WbWJ1oeR_kcb_p6cEp5054s8xG8UZsat8g.kEvLEBiKiw1gk17nm3nOz2gITiNAEC4kLy8YPM3u3lgg.JPEG.bbaibbai86%2F20230722%25A3%25DF122623.jpg
터프이너프 로스터스 VER2,평택시,"카페,디저트",경기 평택시 평택3로 80,0507-1352-0659,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230518_164%2F1684405204399XolU3_JPEG%2FKakaoTalk_20230518_191918484_14.jpg
서정바당,평택시,생선회,경기 평택시 서정역로 21 1층,0507-1337-4434,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240130_151%2F1706614355171ymiIk_JPEG%2F20240127_195519.jpg
무궁화회전초밥 평택,평택시,"초밥,롤","경기 평택시 평남로 929 2층 206, 207호 무궁화회전초밥",0507-1392-1617,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240510_73%2F1715316197475hn2Dy_JPEG%2FKakaoTalk_20240510_134013741.jpg
하나타코야끼,평택시,일식당,경기 평택시 중앙로 71-4 102호,0507-1414-8327,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240522_167%2F1716370275618guOT0_JPEG%2FIMG_3290.jpeg
이정칼국수모밀,평택시,"칼국수,만두",경기 평택시 비전9길 5 1층,0507-1327-3611,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231105_150%2F1699195135252N1UFC_JPEG%2Ftemp_file.jpg
24시 수가성,평택시,한식,경기 평택시 비전2로 17,0507-1446-1184,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171016_295%2F1508083716733KNxa7_JPEG%2FB4Q5HDO8qS9WGUlZFCcdGOoD.jpg
시숲,평택시,"카페,디저트",경기 평택시 현덕면 현덕로 680 1층,0507-1355-4184,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240112_157%2F1705071429011BxVmX_JPEG%2FIMG_2770.jpeg
데이지 식탁,평택시,일식당,경기 평택시 비전2로 196 110호,010-8228-1211,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240429_173%2F1714372202601JHx9n_JPEG%2F1000025468.jpg
할로하우디 평택본점,평택시,양식,경기 평택시 칠괴길 201 할로하우디 평택본점,0507-1341-2054,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231128_169%2F1701160196371zyvlH_JPEG%2FKakaoTalk_20231128_171658267_01.jpg
다교막국수,평택시,막국수,경기 평택시 추담로 58-43,0507-1310-4696,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190317_254%2F1552808147444XRuym_JPEG%2FLNlvvUIhFbfGqN0Hd4Pqdg0G.jpg
램스카페,평택시,"카페,디저트",경기 평택시 안중읍 서동대로 1661 1층,0507-1491-7032,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230918_204%2F1695002946155iyiBV_JPEG%2FIMG_0866.JPG
일공공샤브&편백찜 평택고덕점,평택시,일공공키친,경기 평택시 고덕여염로 118 161호~167호,0507-1354-2664,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240111_129%2F1704933911889oNkrs_JPEG%2FKakaoTalk_20240110_132828301.jpg
원조부산양곱창,평택시,"곱창,막창,양",경기 평택시 중앙2로 59,031-654-3138,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_242%2F1441045902665YLugz_JPEG%2FSUBMIT_1430667377939_36176992.jpg
로로삼계탕 평택점,평택시,"백숙,삼계탕",경기 평택시 비전4로 160 가동 1층,0507-1351-0314,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220607_296%2F1654562533078EdGEF_JPEG%2FKakaoTalk_20211101_152442138.jpg
새말해장국 송탄점,평택시,해장국,경기 평택시 방여울로 85,031-665-5929,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200225_215%2F1582604026560T30eB_JPEG%2FMF0U_z0LUKNcYtm3Srf0bz0E.jpg
죽백화 커피클럽,평택시,"카페,디저트",경기 평택시 죽백2길 186-100 죽백화카페,0507-1347-9459,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230406_210%2F1680748627314H9Ho6_JPEG%2FF18BEE40-87B2-41EA-96E9-D07CE8FD9818.jpeg
천년면가교동짬뽕 오산평택점,평택시,중식당,"경기 평택시 진위면 경기대로 1929 1층, 천년면가 교동짬뽕",031-611-1007,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180705_176%2F15307763159163hShM_JPEG%2F-Qt_KSjfGTCduLtJBcL8xQiy.JPG.jpg
