모델,제조사
지프 랭글러,지프
쉐보레 뉴 이쿼녹스,쉐보레
미니 미니 쿠퍼,미니
아우디 Q8 e-트론,아우디
포르쉐 911,포르쉐
현대 뉴 아반떼 N,현대
아우디 S8,아우디
BMW 2시리즈 액티브 투어러,BMW
벤츠 GLE,벤츠
벤츠 CLA,벤츠
아우디 R8,아우디
쉐보레 블레이저,쉐보레
맥라렌 GT,맥라렌
포르쉐 카이엔,포르쉐
페라리 FXX-K,페라리
아우디 A1,아우디
닷지 챌린저,닷지
아우디 e-트론,아우디
쎄보모빌리티 쎄보-C SE,쎄보모빌리티
재규어 F-페이스,재규어
시트로엥 C4 칵투스,시트로엥
코닉세그 레제라,코닉세그
BMW 6시리즈 그란 투리스모,BMW
노블클라쎄 쏠라티,노블클라쎄
현대 스타리아,현대
애스턴마틴 밴티지,애스턴마틴
BMW i3,BMW
기아 SP 시그니처,기아
쉐보레 뉴 트레일블레이저,쉐보레
제네시스 에센시아,제네시스
랜드로버 레인지로버 스포츠,랜드로버
KGM 뉴 렉스턴 스포츠,KGM
폭스바겐 폴로,폭스바겐
폭스바겐 제타,폭스바겐
지프 그랜드 체로키,지프
벤츠 S클래스,벤츠
제네시스 뉴 G80,제네시스
BMW M4,BMW
BMW X5,BMW
벤츠 C클래스,벤츠
쉐보레 콜벳 스팅레이,쉐보레
KGM 뉴 렉스턴,KGM
벤츠 GLA,벤츠
벤츠 스프린터,벤츠
KGM 코란도 EV,KGM
포드 머스탱 마하-E,포드
폭스바겐 티구안,폭스바겐
미니 미니 해치,미니
DS DS3,DS
렉서스 NX,렉서스
기아 모하비 마스터피스,기아
KGM 뉴 티볼리,KGM
애스턴마틴 DBS,애스턴마틴
현대 뉴 쏘나타 하이브리드,현대
페라리 포르토피노,페라리
쉐보레 타호,쉐보레
폭스바겐 골프,폭스바겐
제네시스 GV60,제네시스
포르쉐 마칸,포르쉐
동풍소콘 마사다 트럭,동풍소콘
캐딜락 CT5-V 블랙윙,캐딜락
마이브 마이브 M1,마이브
아우디 SQ2,아우디
아우디 S4,아우디
쉐보레 콜로라도,쉐보레
부가티 센토디에치,부가티
미니 미니 클럽맨,미니
아우디 A3,아우디
쉐보레 실버라도,쉐보레
BMW 3시리즈,BMW
롤스로이스 컬리넌,롤스로이스
링컨 노틸러스,링컨
기아 봉고3 EV,기아
벤츠 A클래스,벤츠
토요타 코롤라,토요타
로터스 엘레트라,로터스
볼보 EX30,볼보
현대 뉴 i30,현대
아우디 SQ5,아우디
스즈키 짐니,스즈키
미니 미니 컨버터블,미니
볼보 S90,볼보
랜드로버 레인지로버 이보크,랜드로버
BMW Z4,BMW
기아 뉴 EV6,기아
캐딜락 CT4-V 블랙윙,캐딜락
볼보 XC40 리차지,볼보
람보르기니 우라칸,람보르기니
기아 뉴 셀토스,기아
르노코리아 그랑 콜레오스,르노코리아
롤스로이스 팬텀 시리즈2,롤스로이스
벤츠 EQE,벤츠
BMW X1,BMW
랜드로버 레인지로버 벨라,랜드로버
페라리 로마,페라리
BMW X2,BMW
볼보 V60,볼보
이스즈 D-맥스,이스즈
벤츠 E클래스,벤츠
제네시스 일렉트리파이드 GV70,제네시스
코닉세그 제스코,코닉세그
마세라티 그란카브리오,마세라티
르노코리아 아르카나 하이브리드,르노코리아
디피코 뉴 포트로,디피코
현대 베뉴,현대
BMW X6 M,BMW
대창모터스 다니고3,대창모터스
포드 익스플로러,포드
기아 스포티지,기아
BMW M5,BMW
BMW 5시리즈,BMW
맥라렌 아투라,맥라렌
현대 코나 하이브리드,현대
아우디 S7,아우디
랜드로버 레인지로버,랜드로버
롤스로이스 스펙터,롤스로이스
BMW i4,BMW
BMW iX1,BMW
기아 스포티지 하이브리드,기아
캐딜락 리릭,캐딜락
KGM 뉴 토레스,KGM
로터스 에비자,로터스
페라리 296 GTS,페라리
마세라티 그란투리스모,마세라티
현대 코나 일렉트릭,현대
기아 뉴 K3,기아
제네시스 G90,제네시스
볼보 S60,볼보
기아 K8 하이브리드,기아
폭스바겐 ID.4,폭스바겐
미니 미니 컨트리맨,미니
KGM 뉴 렉스턴 스포츠 칸,KGM
폭스바겐 투아렉,폭스바겐
마세라티 그레칼레,마세라티
기아 K8,기아
현대 넥쏘,현대
볼보 V60 크로스 컨트리,볼보
지프 체로키,지프
기아 뉴 쏘렌토,기아
폴스타 폴스타1,폴스타
캐딜락 XTS,캐딜락
벤츠 EQE SUV,벤츠
기아 모하비,기아
포드 익스페디션,포드
캐딜락 CT4-V,캐딜락
기아 뉴 K5 하이브리드,기아
아우디 A5,아우디
아우디 Q2,아우디
아우디 RS5,아우디
페라리 SF90 스파이더,페라리
지리 쎄아,지리
애스턴마틴 DBX,애스턴마틴
아우디 RS3,아우디
KGM 뉴 티볼리 에어,KGM
현대 뉴 투싼,현대
현대 뉴 투싼 하이브리드,현대
페라리 812 GTS,페라리
테슬라 모델 S,테슬라
벤츠 마이바흐 S클래스,벤츠
닛산 리프,닛산
폭스바겐 티록,폭스바겐
아우디 RS7,아우디
캐딜락 XT6,캐딜락
현대 포터2,현대
푸조 208,푸조
현대 ST1,현대
포드 브롱코,포드
DS DS9,DS
BMW i5,BMW
마세라티 MC20,마세라티
포드 머스탱,포드
렉서스 RZ,렉서스
기아 프로씨드,기아
KGM 토레스 EVX,KGM
볼보 XC90,볼보
푸조 308,푸조
제네시스 일렉트리파이드 G80,제네시스
캐딜락 CT5-V,캐딜락
DS DS7 크로스백,DS
BMW iX,BMW
페라리 로마 스파이더,페라리
아우디 A4,아우디
벤츠 SL,벤츠
아우디 Q5,아우디
기아 뉴 모닝,기아
지프 글래디에이터,지프
BMW X4,BMW
토요타 GR 수프라,토요타
지프 컴패스,지프
링컨 코세어,링컨
벤츠 GLS,벤츠
폭스바겐 티크로스,폭스바겐
아우디 SQ7,아우디
현대 캐스퍼,현대
재규어 XF,재규어
벤츠 X클래스,벤츠
볼보 C40 리차지,볼보
현대 아이오닉 5 N,현대
푸조 3008,푸조
아우디 RS e-트론 GT,아우디
아우디 S6,아우디
폴스타 폴스타 2,폴스타
이베코 뉴 데일리 밴,이베코
기아 뉴 쏘렌토 하이브리드,기아
기아 텔루라이드,기아
BMW 2시리즈 그란 투어러,BMW
마세라티 르반떼,마세라티
링컨 네비게이터,링컨
페라리 SF90 스트라달레,페라리
르노코리아 트위지,르노코리아
포르쉐 파나메라,포르쉐
마세라티 콰트로포르테,마세라티
현대 뉴 아반떼 하이브리드,현대
현대 싼타페,현대
아우디 Q8,아우디
현대 뉴 쏘나타,현대
현대 뉴 마이티,현대
아우디 S3,아우디
현대 45,현대
비야디 T4K,비야디
애스턴마틴 DB11,애스턴마틴
벤틀리 플라잉스퍼,벤틀리
BMW i7,BMW
아우디 A6,아우디
벤츠 EQS SUV,벤츠
렉서스 RX,렉서스
BMW X3,BMW
테슬라 모델 X,테슬라
현대 쏠라티,현대
폭스바겐 ID.3,폭스바겐
현대 코나,현대
미니 미니 컨트리맨 일렉트릭,미니
포드 트랜짓,포드
람보르기니 우루스,람보르기니
토요타 하이랜더,토요타
BMW XM,BMW
현대 그랜저 하이브리드,현대
벤츠 EQB,벤츠
테슬라 모델 Y,테슬라
현대 뉴 아반떼,현대
맥라렌 765LT,맥라렌
부가티 디보,부가티
이네오스 그레나디어,이네오스
기아 뉴 K9,기아
기아 뉴 카니발,기아
아우디 RSQ8,아우디
볼보 XC60,볼보
기아 뉴 레이 EV,기아
페라리 포르토피노 M,페라리
페라리 12칠린드리 스파이더,페라리
아우디 e-트론 GT 컨셉트,아우디
롤스로이스 고스트,롤스로이스
BMW M3,BMW
현대 스타리아 하이브리드,현대
아우디 SQ8 e-트론,아우디
동풍소콘 글로리 580,동풍소콘
BMW X3 M,BMW
토요타 알파드,토요타
제네시스 GV80,제네시스
기아 니로 플러스,기아
렉서스 LC,렉서스
마세라티 MC20 첼로,마세라티
아우디 RS6,아우디
동풍소콘 마사다 밴,동풍소콘
KGM 코란도,KGM
렉서스 LS,렉서스
BMW 2시리즈,BMW
랜드로버 디스커버리,랜드로버
토요타 GR86,토요타
BMW X4 M,BMW
현대 뉴 팰리세이드,현대
제네시스 뉴 G70,제네시스
벤츠 EQA,벤츠
닛산 무라노,닛산
현대 그랜저,현대
미니 미니 쿠퍼 일렉트릭,미니
제네시스 뉴 G70 슈팅 브레이크,제네시스
폭스바겐 아테온,폭스바겐
BMW X6,BMW
토요타 프리우스,토요타
지프 레니게이드,지프
기아 봉고3 트럭,기아
페라리 488 피스타 스파이더,페라리
혼다 시빅,혼다
아우디 e-트론 GT,아우디
페라리 푸로산게,페라리
기아 EV9,기아
토요타 크라운,토요타
BMW X5 M,BMW
벤츠 EQS,벤츠
볼보 V90 크로스 컨트리,볼보
기아 뉴 레이,기아
에디슨EV 이브이 제타,에디슨EV
기아 뉴 K5,기아
벤츠 B클래스,벤츠
현대 뉴 카운티,현대
현대 파비스,현대
르노코리아 그랑 콜레오스 하이브리드,르노코리아
현대 싼타페 하이브리드,현대
DS DS7,DS
혼다 어코드,혼다
맥라렌 750S,맥라렌
쉐보레 트랙스 크로스오버,쉐보레
토요타 RAV4,토요타
르노코리아 마스터,르노코리아
혼다 파일럿,혼다
현대 i30 N,현대
재규어 E-페이스,재규어
혼다 클래리티,혼다
폭스바겐 ID 버즈,폭스바겐
르노코리아 클리오,르노코리아
혼다 NSX,혼다
폭스바겐 아틀라스,폭스바겐
알파로메오 스텔비오,알파로메오
푸조 301,푸조
페라리 J50,페라리
르노 조에,르노
폭스바겐 ID,폭스바겐
스코다 코디악,스코다
KGM LIV-2,KGM
현대 RN30,현대
벤츠 제네레이션 EQ,벤츠
볼보 V90 에스테이트,볼보
닛산 로그,닛산
르노 메간,르노
벤츠 비전 밴,벤츠
현대 뉴 i10,현대
기아 뉴 프라이드,기아
애스턴마틴 AM-RB 001,애스턴마틴
토요타 C-HR,토요타
시트로엥 C3,시트로엥
르노 클리오,르노
현대 RM16,현대
페라리 라페라리,페라리
아우디 올로드콰트로,아우디
르노 콜레오스,르노
시트로엥 DS4 크로스백,시트로엥
아우디 TT,아우디
닛산 킥스,닛산
스코다 비전S,스코다
벤틀리 뮬산,벤틀리
르노 탈리스만 에스테이트,르노
닛산 GT-R,닛산
부가티 시론,부가티
마쯔다 MX-5 RF,마쯔다
제네시스 뉴욕 컨셉트,제네시스
아우디 h-트론,아우디
인피니티 Q60,인피니티
아우디 RSQ3,아우디
람보르기니 센테나리오,람보르기니
인피니티 QX30,인피니티
피아트 124 스파이더,피아트
벤츠 SLC,벤츠
마쯔다 CX-3,마쯔다
마쯔다 마쯔다3,마쯔다
마쯔다 마쯔다6,마쯔다
링컨 MKZ,링컨
마쯔다 CX-5,마쯔다
스코다 수퍼브,스코다
닛산 2020 비전 그란 투리스모,닛산
마쯔다 MX-5 스파이더,마쯔다
렉서스 LF-FC,렉서스
마쯔다 RX-비전,마쯔다
토요타 S-FR,토요타
마쯔다 MX-5 스피드스터,마쯔다
포드 포커스,포드
포르쉐 미션 E,포르쉐
쉐보레 볼트,쉐보레
현대 i20 액티브,현대
인피니티 Q30,인피니티
현대 N 2025 비전 그란 투리스모,현대
렉서스 LX,렉서스
피아트 500,피아트
쉐보레 SS,쉐보레
르노 탈리스만,르노
쉐보레 카마로,쉐보레
알파로메오 줄리아,알파로메오
쉐보레 뉴 크루즈,쉐보레
혼다 S660,혼다
폭스바겐 트랜스포터,폭스바겐
현대 엔듀로,현대
폭스바겐 C 쿠페,폭스바겐
폭스바겐 디자인 비전 GTI,폭스바겐
포르쉐 박스터,포르쉐
맥라렌 540C,맥라렌
렉서스 LF-SA,렉서스
르노코리아 에스파스,르노코리아
기아 KX3,기아
르노 이오랩,르노
마세라티 알피에리,마세라티
기아 노보,기아
KGM XAV,KGM
렉서스 RC,렉서스
애스턴마틴 벌칸,애스턴마틴
폭스바겐 샤론,폭스바겐
폭스바겐 투란,폭스바겐
폭스바겐 스포트 쿠페,폭스바겐
기아 스포트스페이스,기아
마쯔다 MX-5,마쯔다
아큐라 NSX,아큐라
폭스바겐 크로스 쿠페,폭스바겐
포드 GT,포드
현대 싼타크루즈,현대
포르쉐 카이맨,포르쉐
BMW 6시리즈,BMW
볼보 S60 크로스 컨트리,볼보
마쯔다 마쯔다2,마쯔다
알파로메오 4C,알파로메오
벤츠 F015 럭셔리 인 모션,벤츠
벤틀리 그랜드 컨버터블,벤틀리
렉서스 LF-C2,렉서스
미니 슈퍼레제라 비전,미니
인피니티 Q80 인스피레이션,인피니티
토요타 미라이,토요타
벤츠 V클래스,벤츠
페라리 F60 아메리카,페라리
아우디 프롤로그,아우디
피아트 500X,피아트
현대 H350,현대
람보르기니 아스테리온,람보르기니
애스턴마틴 DB9,애스턴마틴
애스턴마틴 라피드,애스턴마틴
현대 뉴 i20,현대
KGM XIV-에어,KGM
재규어 F-타입,재규어
스마트 포포,스마트
미니 미니 페이스맨,미니
마쯔다 RX-8,마쯔다
푸조 508,푸조
스마트 포투,스마트
폭스바겐 파사트,폭스바겐
다이하쓰 미라,다이하쓰
벤츠 CLS,벤츠
다이하쓰 탄토,다이하쓰
다이하쓰 코펜,다이하쓰
아우디 TT 오프로드,아우디
르노코리아 이니셜 파리,르노코리아
캐딜락 엘미라지,캐딜락
쉐보레 이쿼녹스,쉐보레
토요타 펀 7,토요타
BMW 비전 퓨처 럭셔리,BMW
닛산 라니아,닛산
벤츠 쿠페 SUV,벤츠
기아 K3S,기아
현대 인트라도,현대
푸조 이그졸트,푸조
시트로엥 DS 5LS,시트로엥
현대 iX25,현대
맥라렌 650S,맥라렌
코닉세그 원:1,코닉세그
쉐보레 임팔라,쉐보레
토요타 아이고,토요타
르노 트윙고,르노
폭스바겐 타이군,폭스바겐
아우디 S1,아우디
KGM XLV,KGM
폭스바겐 아이비틀,폭스바겐
푸조 108,푸조
시트로엥 C1,시트로엥
토요타 오리스,토요타
스바루 레거시,스바루
마쯔다 RX-7,마쯔다
포드 F시리즈,포드
GMC 유콘,GMC
GMC 아카디아,GMC
GMC 캐년,GMC
미쓰비시 i,미쓰비시
닛산 스포트 세단,닛산
아우디 올로드 슈팅 브레이크,아우디
맥라렌 P1,맥라렌
기아 GT4 스팅어,기아
GMC 터레인,GMC
크라이슬러 200,크라이슬러
토요타 FT-1,토요타
맥라렌 MP4-12C,맥라렌
볼보 XC 쿠페,볼보
시트로엥 C4 피카소,시트로엥
스바루 임프레자,스바루
현대 밍투,현대
토요타 FCV,토요타
미아일렉트릭 미아,미아일렉트릭
닛산 IDx 프리플로우,닛산
BMW i8,BMW
폭스바겐 업,폭스바겐
재규어 C-X17,재규어
닛산 블레이드글라이더,닛산
랜드로버 디스커버리4,랜드로버
렉서스 LF-NX,렉서스
미니 비전,미니
볼보 쿠페,볼보
아우디 스포트 콰트로,아우디
재규어 C-X75,재규어
기아 K2,기아
파가니 존다,파가니
현대 랑둥,현대
현대 HB20,현대
캐딜락 CTS,캐딜락
람보르기니 에고이스타,람보르기니
부가티 베이론,부가티
BMW 5시리즈 그란 투리스모,BMW
KGM LIV-1,KGM
기아 캅,기아
렉서스 LF-LC,렉서스
현대 HND-9,현대
기아 크로스 GT,기아
페라리 세르지오,페라리
람보르기니 베네노,람보르기니
KGM SIV-1,KGM
링컨 MKC,링컨
토요타 i-로드,토요타
기아 프로보,기아
폭스바겐 XL1,폭스바겐
토요타 86,토요타
캐딜락 ELR,캐딜락
폭스바겐 비틀 카브리올레,폭스바겐
현대 HCD-14 제네시스,현대
인피니티 Q50,인피니티
폭스바겐 크로스블루,폭스바겐
렉서스 IS,렉서스
벤츠 CLA클래스,벤츠
아우디 크로스레인,아우디
닛산 테라,닛산
렉서스 LF-CC,렉서스
벤츠 에너지포스,벤츠
쉐보레 스파크,쉐보레
KGM e-XIV,KGM
스바루 포레스터,스바루
쉐보레 트랙스,쉐보레
BMW 액티브 투어러,BMW
기아 K3,기아
혼다 N-Box,혼다
푸조 오닉스,푸조
현대 헥사 스페이스,현대
현대 아이오닉,현대
벤츠 CLS클래스,벤츠
KGM XIV-2,KGM
닛산 쥬크,닛산
기아 GT,기아
르노코리아 캡처,르노코리아
람보르기니 실루엣,람보르기니
기아 씨드,기아
기아 트랙스터,기아
현대 i20,현대
벤츠 스타일 쿠페,벤츠
미쓰비시 트라이톤,미쓰비시
스마트 포어스,스마트
폭스바겐 E-벅스터,폭스바겐
쉐보레 쉐보레 트루 140S,쉐보레
애스턴마틴 V12 자가토,애스턴마틴
푸조 4008,푸조
BMW M6,BMW
쉐보레 쉐보레 코드 130R,쉐보레
캐딜락 ATS,캐딜락
마세라티 쿠방,마세라티
포드 쉘비 머스탱,포드
벤츠 SLS AMG,벤츠
스바루 BRZ,스바루
토요타 아쿠아,토요타
재규어 C-X16,재규어
렉서스 LFA,렉서스
렉서스 GS,렉서스
애스턴마틴 ONE-77,애스턴마틴
사이언 xB,사이언
알파로메오 159,알파로메오
미니 미니 쿠페,미니
알파로메오 줄리에타,알파로메오
알파로메오 미토,알파로메오
쉐보레 콜벳,쉐보레
시트로엥 DS3,시트로엥
폭스바겐 비틀,폭스바겐
시트로엥 C5,시트로엥
폭스바겐 시로코,폭스바겐
벤츠 SLK클래스,벤츠
현대 i10,현대
닛산 큐브,닛산
기아 쏘울,기아
페라리 F430,페라리
세아트 알테아,세아트
포드 S-맥스,포드
포드 몬데오,포드
마쯔다 비안테,마쯔다
포드 갤럭시,포드
알파로메오 RZ,알파로메오
닛산 캐시카이,닛산
폰티악 G8,폰티악
현대 제네시스 쿠페,현대
벤츠 M클래스,벤츠
이스즈 아센더,이스즈
아우디 RS4,아우디
폰티악 솔스티스,폰티악
홀덴 아스트라,홀덴
홀덴 캡티바,홀덴
홀덴 바리나,홀덴
쉐보레 아베오,쉐보레
홀덴 에피카,홀덴
홀덴 스테이츠맨,홀덴
람보르기니 레벤톤,람보르기니
로터스 2 일레븐,로터스
로터스 서킷카,로터스
허머 HX Concept,허머
포드 이스케이프,포드
어울림 스피라,어울림
랜드로버 LRX,랜드로버
사브 9-4X,사브
혼다 FCX,혼다
푸조 RCZ,푸조
벤츠 CL클래스,벤츠
아큐라 TL,아큐라
스코다 파비아,스코다
아큐라 RL,아큐라
닛산 350Z,닛산
아큐라 RSX,아큐라
아큐라 TSX,아큐라
아큐라 MDX,아큐라
로터스 에스프리,로터스
새턴 뷰,새턴
사이언 xA,사이언
새턴 스카이,새턴
사이언 tC,사이언
마세라티 그란스포츠,마세라티
마세라티 3200 GT,마세라티
링컨 제퍼,링컨
코닉세그 CCR,코닉세그
마세라티 MC12,마세라티
링컨 마크 LT,링컨
머큐리 몬테레이,머큐리
캐딜락 XLR,캐딜락
캐딜락 STS,캐딜락
벤츠 SLR 맥라렌,벤츠
벤츠 R클래스,벤츠
벤츠 GL클래스,벤츠
캐딜락 BLS,캐딜락
쉐보레 트레일블레이저,쉐보레
쉐보레 서버번,쉐보레
쉐보레 몬테카를로,쉐보레
쉐보레 말리부,쉐보레
쉐보레 HHR,쉐보레
뷰익 레이니어,뷰익
머큐리 밀란,머큐리
머큐리 마리너,머큐리
뷰익 랑데부,뷰익
뷰익 라크로스,뷰익
머큐리 몬테고,머큐리
쉐보레 코발트,쉐보레
머큐리 마운틴니어,머큐리
뷰익 테라자,뷰익
피아트 세디치,피아트
알파로메오 147,알파로메오
머큐리 그랜드 마퀴스,머큐리
알파로메오 156,알파로메오
피아트 크로마,피아트
알파로메오 스파이더,알파로메오
알파로메오 8C,알파로메오
알파로메오 브레라,알파로메오
피아트 그랜드 푼토,피아트
토요타 수프라,토요타
랜드로버 디스커버리3,랜드로버
토요타 매트릭스,토요타
토요타 야리스,토요타
토요타 세쿼이아,토요타
토요타 아발론,토요타
시트로엥 C6,시트로엥
토요타 FJ 크루져,토요타
토요타 4러너,토요타
토요타 랜드크루져,토요타
시트로엥 C4,시트로엥
시트로엥 사라 피카소,시트로엥
시트로엥 사라,시트로엥
르노 모뒤스,르노
르노 트래픽,르노
르노 캉구,르노
르노 에스파스,르노
시트로엥 C2,시트로엥
르노 벨사티스,르노
르노 세닉,르노
르노 라구나,르노
혼다 인사이트,혼다
혼다 릿지라인,혼다
혼다 피트,혼다
혼다 엘리먼트,혼다
혼다 S2000,혼다
닛산 타이탄,닛산
스즈키 레노,스즈키
닛산 퀘스트,닛산
스즈키 XL-7,스즈키
스즈키 비타라,스즈키
스즈키 베로나,스즈키
닛산 패스파인더,닛산
닛산 프론티어,닛산
스즈키 에어리오,스즈키
스즈키 포렌자,스즈키
허머 H2,허머
닛산 엑스테라,닛산
닛산 맥시마,닛산
볼보 V70,볼보
허머 H3,허머
닛산 알마다,닛산
볼보 C70,볼보
닛산 센트라,닛산
닛산 알티마,닛산
폰티악 토런트,폰티악
허머 H1,허머
폰티악 그랑프리,폰티악
폰티악 바이브,폰티악
스바루 아웃백,스바루
폰티악 몬타나,폰티악
미쓰비시 아웃랜더,미쓰비시
포드 프리스타,포드
미쓰비시 이클립스,미쓰비시
포드 퓨전,포드
스바루 트리베카,스바루
포드 프리스타일,포드
스바루 바하,스바루
폰티악 G6,폰티악
미쓰비시 엔데버,미쓰비시
미쓰비시 랜서 에볼루션,미쓰비시
미쓰비시 랜서,미쓰비시
마쯔다 MPV,마쯔다
미쓰비시 몬테로,미쓰비시
미쓰비시 레이더,미쓰비시
미쓰비시 갤랑,미쓰비시
마쯔다 트리뷰트,마쯔다
마쯔다 마쯔다5,마쯔다
렉서스 GX,렉서스
마쯔다 CX-7,마쯔다
토요타 타코마,토요타
토요타 툰드라,토요타
포드 크라운 빅토리아,포드
벤츠 SL클래스,벤츠
현대 클릭,현대
푸조 307,푸조
혼다 레전드,혼다
