,Title,Distance,Explain,DriveCourseID,Image,LocalID,URL
10,"(강릉~고성) 풍경 따라 맛 따라, 7번 국도 드라이브",코스 총거리 : 99.85km,연곡면 영진2리에 있으며 조용하고 깨끗하여 동호인이나 가족단위로 피서를 즐기기에 적합한 곳으로서 바다 냄새가 물씬 풍기는 조그마한 어촌 마을이다.,11,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=13164319-5f2b-4c83-a212-cca0ba520c10,2,https://korean.visitkorea.or.kr/detail/cs_detail_cos.do?cotid=1da4e85d-448b-4c4e-b464-3bf7cb436dca&big_category=C01&mid_category=C0114&big_area=32
11,서해 제일의 석양부터 야경까지 아우르는 드라이브 코스,코스 총거리 : 약 55km,백령도부터 강화군과 김포시로 이어지는 코스로 너른 갯벌과 황홀한 일몰이 어우러진 서해 해안 도로를 달리고 화려한 불빛이 반짝이는 금빛 수로 풍경 안으로 들어간다.,12,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=15f19a3d-6e8b-425f-bf9c-07b4a13f484e,1,https://korean.visitkorea.or.kr/detail/cs_detail_cos.do?cotid=45450383-d073-45c8-b33c-bd97ccc88dbe&big_category=C01&mid_category=C0114&big_area=31
12,낭만은 짜릿하다! 낭만과 스릴을 동시에 만나는 드라이브 코스,코스 총거리 : 약 160km,"화천군과 인제군, 고성군까지 멋과 맛이 가득한 코스로 구불구불한 아홉 구비 도로를 지나 국내 최대 규모의 서킷 경주장과 동해를 벗 삼은 해안 도로를 달린다.",13,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a1fc0667-7324-4316-bb18-8a09e680556f,2,https://korean.visitkorea.or.kr/detail/cs_detail_cos.do?cotid=a0572a27-008c-4976-a584-7f62bce24e8c&big_category=C01&mid_category=C0114&big_area=32
13,"동해안일주해안도로(양양), 등뼈를 타고 달리다!",코스 총거리 : 약 37km,"동해안일주해안도로는 총길이 500km가 넘는 국도 7호선 드라이브 코스로 동해바다의 깊고 푸른 길과 함께 한다. 동해안일주해안도로는 한반도 우측인 동해 라인의 아름다운 바다도시들을 두루 거치는 코스로 고성부터 시작해서 속초, 양양, 강릉, 동해, 삼청, 울진, 영덕을 거쳐 포항, 울산, 부산까지 이른다. 이중 양양은 동해안일주해안도로 구간 중 유독 이국적인 매력을 담고 있는 곳이다. 동해의 블루 바다, 깨끗하고 고운 백사장, 해변을 따라 줄지어 선 트리, 서퍼비치 등 천혜의 자연경관과 독특한 분위기가 조화롭게 어우러져 있다.",14,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5a0c4cfb-1d1d-4696-a167-20a35a1906b8,2,https://korean.visitkorea.or.kr/detail/cs_detail_cos.do?cotid=126bdfb5-2094-4b68-ac15-8a576071915b&big_category=C01&mid_category=C0114&big_area=32
14,"동해안일주해안도로(속초), 등뼈를 타고 달리다!",코스 총거리 : 약 16km,"동해안일주해안도로는 총길이 500km가 넘는 국도 7호선 드라이브 코스로 동해바다의 깊고 푸른 길과 함께 한다. 동해안일주해안도로는 한반도 우측인 동해 라인의 아름다운 바다도시들을 두루 거치는 코스로 고성부터 시작해서 속초, 양양, 강릉, 동해, 삼척, 울진, 영덕을 거처 포항, 울산, 부산까지 이른다. 이중 속초는 동해안 고속도로를 타고 들어설 때부터 여행이 시작되는 곳이다. 언제나 깊고 푸른 바다를 만날 수 있고 아름다운 해변과 항구, 웅장한 명산, 운치 가득한 청초호 등 가볼만한 명소가 즐비하고 다양한 먹거리가 풍부하다.  ※ 하단의 지도를 확대하여 코스별 상세 위치를 확인할 수 있습니다. 지도상의 코스가 겹치는 경우 지도를 확대하여 확인해주세요. (원하는 위치에서 마우스 휠 또는 손가락을 이용하여 지도 확대보기가 가능합니다.)",15,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e39286c4-5de5-45a2-9d0b-f7bc98b36f34,2,https://korean.visitkorea.or.kr/detail/cs_detail_cos.do?cotid=36b1b958-357c-418c-b4de-b6d66dc85a46&big_category=C01&mid_category=C0114&big_area=32
15,"국도 17호선, 섬진강 따라 사계를 달리다!",코스 총거리 : 28.8km,"국도 17호선 중 숲과 강의 풍경을 한 번에 담을 수 있는 곳이 전남 곡성에서 구례에 이르는 드라이브 구간이다. 곡성 읍내로 진입하는 도로부터 이어지는 약 800m의 우람한 메타세콰이어 길은 여름에는 푸르름으로, 가을에는 황금빛으로 물들어 아름답다. 이 길을 벗어나면 아름다운 섬진강을 따라 구례까지 시원스럽게 달리게 된다. 특히 중간쯤인 곡성-압록 구간은 봄이면 분홍빛 철쭉길이 볼만하며 기차마을에서 출발하는 증기기관차를 닮은 기차와 함께 달리는 짜릿한 즐거움도 만끽할 수 있다. ㆍ코스 정보 : 곡성역~구례구역(28.8km)  ※ 하단의 지도를 확대하여 코스별 상세 위치를 확인할 수 있습니다. 지도상의 코스가 겹치는 경우 지도를 확대하여 확인해주세요. (원하는 위치에서 마우스 휠 또는 손가락을 이용하여 지도 확대보기가 가능합니다.)",16,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4295f57d-2d4a-4ffb-91e3-17ff35071255,6,https://korean.visitkorea.or.kr/detail/cs_detail_cos.do?cotid=3b205d96-dfa7-40d7-bcf9-777835eb7eac&big_category=C01&mid_category=C0114&big_area=38
16,"물미해안도로, 미풍에 밀려 매혹적인 해안으로 빠져들다!",코스 총거리 : 약 35.2km,"물미해안도로는 이국적이고 매혹적인 해안도로. 특히 남해의 유명한 드라이브 코스로 정평이 나있다. 혹자는 한려해상을 품은 비단길이라 말하기도 한다. 그 이유는 구불구불 굽이도는 길에 꽃과 단풍, 기암괴석, 그 아래로 펼쳐진 에메랄드빛 바다까지 어우러진 모습이 마치 비단처럼 곱고 아름답기 때문이다. 특히 하늘에서 내려다본 물미해안도로는 명품 풍경의 진수를 보여준다.  ※ 하단의 지도를 확대하여 코스별 상세 위치를 확인할 수 있습니다. 지도상의 코스가 겹치는 경우 지도를 확대하여 확인해주세요. (원하는 위치에서 마우스 휠 또는 손가락을 이용하여 지도 확대보기가 가능합니다.)",17,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b45001a4-f729-4697-8c63-8e2fbf149df7,5,https://korean.visitkorea.or.kr/detail/cs_detail_cos.do?cotid=55eb1fcc-1241-4376-86c9-515e7627ff04&big_category=C01&mid_category=C0114&big_area=36
17,배타고 드라이브하고 여수를 즐긴다!,코스 총거리 : 50km(여수-금오도 뱃길 제외),아름다운 항구 도시 여수의 매력을 골고루 맛보는 코스. 동백꽃으로 유명한 오동도에서 산책을 즐긴 후 절벽 위 기암괴석들 사이에 서 있는 향일암을 관람한다. 때 묻지 않은 자연환경을 간직한 금오도를 카훼리를 타고 들어가 해안도로를 따라 드라이브도 즐겨보자. 한려수도 유람선을 타면 바다에서 보이는 여수 풍광을 감상할 수 있다.,18,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=70875873-7043-4904-be2b-871f3fd8e1d2,6,https://korean.visitkorea.or.kr/detail/cs_detail_cos.do?cotid=5c7cd585-d4a9-4776-b094-27a74fcff736&big_category=C01&mid_category=C0114&big_area=38
18,함백산 만항재,코스 총거리 : 약 8.3km,"함백산 만항재는 우리나라 고원 드라이브 코스의 정수이자 차로 오를 수 있는 가장 높은 고갯길이다. 만항재는 강원도 정선과 영월, 태백의 경계를 이루는 고개로 무려 1,330m에 달한다. 남한에서는 여섯 번째로 높다는 함백산을 턱밑까지 갈 수 있는 곳이다. ㆍ코스 정보 : 화방재~만항재(약 8.3km)  ※ 하단의 지도를 확대하여 코스별 상세 위치를 확인할 수 있습니다. 지도상의 코스가 겹치는 경우 지도를 확대하여 확인해주세요. (원하는 위치에서 마우스 휠 또는 손가락을 이용하여 지도 확대보기가 가능합니다.)",19,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8f7bf86a-3a78-4a29-be6f-7df67a9291f1,2,https://korean.visitkorea.or.kr/detail/cs_detail_cos.do?cotid=620858dc-4951-4cc3-8f67-b541b0342cad&big_category=C01&mid_category=C0114&big_area=32
19,"동해안일주해안도로(울진), 등뼈를 타고 달리다!",코스 총거리 : 약 45km,"동해안일주해안도로는 총길이 500km가 넘는 국도 7호선 드라이브 코스로 동해바다의 깊고 푸른 길과 함께 한다. 동해안일주해안도로는 한반도 우측인 동해 라인의 아름다운 바다도시들을 두루 거치는 코스로 고성부터 시작해서 속초, 양양, 강릉, 동해, 삼척, 울진, 영덕을 거처 포항, 울산, 부산까지 이른다. 이중 울진은 동해일주해안도로 중 경상도 지역의 첫 관문이자 색다른 멋과 맛을 느낄 수 있는 고장이다. 울진의 자랑거리는 역시 시원한 바다 풍광과 함께 하는 별미 여행이다. 바다의 매력에 빠져 보고 죽변항, 후포항에서 대게를 맛보고, 무창포에서 주꾸미, 도다리를 시식한 다음 후보, 오천항에서 키조개를 탐식하면 최고의 미각 여행이 마무리된다. 그리고 아담하고 포근한 항구에서는 유유자적 낚시도 즐길 수 있다.  ※ 하단의 지도를 확대하여 코스별 상세 위치를 확인할 수 있습니다. 지도상의 코스가 겹치는 경우 지도를 확대하여 확인해주세요. (원하는 위치에서 마우스 휠 또는 손가락을 이용하여 지도 확대보기가 가능합니다.)",20,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5deba5cf-28a4-40de-9433-4401fd26423a,5,https://korean.visitkorea.or.kr/detail/cs_detail_cos.do?cotid=6fd6f7f3-d6ee-459d-83f8-1176979829e4&big_category=C01&mid_category=C0114&big_area=35
20,"변산반도해안도로, 파란 바다, 세월의 파도, 꿈틀대는 자연에 취하다!",코스 총거리 : 35.4km,"변산반도해안도로는 새만금방조제를 건너 전북 부안군 변산면 대항리의 국도 30호선 해안도로와 만나면서 시작된다. 구불구불 해안선을 따라 채석강, 격포항, 곰소항까지 달리는 35.4km 구간으로 환상의 드라이브 코스다. 시원하게 쭉 뻗은 파란 바다뿐 아니라 호젓한 해안 마을, 수만 년 파도에 쓸려 독특한 모양을 빚어낸 해안절벽, 생명들의 보고 갯벌, 신비한 변산반도 국립공원 외변산의 주요 명소 그리고 크고 작은 변산반도의 해변과도 만나게 된다.  ※ 하단의 지도를 확대하여 코스별 상세 위치를 확인할 수 있습니다. 지도상의 코스가 겹치는 경우 지도를 확대하여 확인해주세요. (원하는 위치에서 마우스 휠 또는 손가락을 이용하여 지도 확대보기가 가능합니다.)",21,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=44fb7e0b-0016-425f-b521-ff9db58d0bbb,6,https://korean.visitkorea.or.kr/detail/cs_detail_cos.do?cotid=9d6b7398-00fe-4d33-868a-6feea1ddcff1&big_category=C01&mid_category=C0114&big_area=37
21,"영광백수해안도로, 해안선 따라 해넘이의 파노라마가 물결치다!",코스 총거리 : 약 18.4km,"삼면이 바다인 우리나라는 동해, 서해, 남해 어디를 가도 짜릿한 해안 풍광을 맛볼 수 있지만 유독 노을이 아름다운 해안도로는 서해 쪽에 몰려 있다 해도 과언이 아니다. 전남 영광 백수해안도로는 환상의 드라이브 코스로 해넘이가 으뜸인 곳이다. 구간은 영광군 백수읍 길용리에서 백암리 석구미 마을까지의 약 18.4km로 해안을 따라 달리면서 기암괴석과 광활한 갯벌, 불타는 저녁놀을 한꺼번에 감상할 수 있다. 백수해안도로의 하이라이트는 뭐니 뭐니 해도 일몰인데 아름다운 해넘이를 차 안에서 파노라마로 만끽할 수 있다. 물결치듯 빨려 들어가는 붉은 태양의 장엄한 모습은 넋이 나갈 정도로 아름답다. ㆍ코스 정보 : 영광군 백수읍 길용리~백암리 석구마마을(약 18.4km)  ※ 하단의 지도를 확대하여 코스별 상세 위치를 확인할 수 있습니다. 지도상의 코스가 겹치는 경우 지도를 확대하여 확인해주세요. (원하는 위치에서 마우스 휠 또는 손가락을 이용하여 지도 확대보기가 가능합니다.)",22,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d42ad1d5-f3b1-4f3e-99f8-11bfdcb7a8df,6,https://korean.visitkorea.or.kr/detail/cs_detail_cos.do?cotid=ae84ca78-84b8-481b-a549-384b4b72e194&big_category=C01&mid_category=C0114&big_area=38
22,"해금강해안도로, 클래식블루 톤의 유혹!",코스 총거리 : 10.4km,"해안도로를 따라 달리는 드라이브 코스의 관광 스폿은 비대면 여행의 백미이다. 산과 들, 바다, 하늘, 바위까지 자연으로 빚어낸 온갖 것들을 만날 수 있다. 계절에 상관없이 여행을 할 수 있는 장점도 있다. 남쪽에는 이름만 들어도 달려가고 싶은 해안도로가 무척 많다. 특히 에메랄드빛 바다와 억겁의 시간과 파도가 만들어낸 기암괴석과 겹겹이 쌓인 바위층, 거기에 자그락자그락 몽돌들의 합창소리가 울려 퍼지는 해변까지.. 이 모든 것을 한 번에 담을 수 있는 곳이 바로 거제도 해금강해안도로이다. 남태평양의 작은 섬 같기도 하고 그리스 산토리니 같은 이국적인 풍경도 가지고 있다.  ※ 하단의 지도를 확대하여 코스별 상세 위치를 확인할 수 있습니다. 지도상의 코스가 겹치는 경우 지도를 확대하여 확인해주세요. (원하는 위치에서 마우스 휠 또는 손가락을 이용하여 지도 확대보기가 가능합니다.)",23,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=05beb8df-cadc-4fef-b96b-8a2d13e98129,5,https://korean.visitkorea.or.kr/detail/cs_detail_cos.do?cotid=bc683ed9-86c5-49f1-9cbb-1fb95524bc1f&big_category=C01&mid_category=C0114&big_area=36
23,"동해안일주해안도로(포항), 등뼈를 타고 달리다!",코스 총거리 : 약 15km,"동해안일주해안도로는 총길이 500km가 넘는 국도 7호선 드라이브 코스로 동해바다의 깊고 푸른 길과 함께 한다. 동해안일주해안도로는 한반도 우측인 동해 라인의 아름다운 바다도시들을 두루 거치는 코스로 고성부터 시작해서 속초, 양양, 강릉, 동해, 삼척, 울진, 영덕을 거처 포항, 울산, 부산까지 이른다. 이중 우리나라 동쪽 끝에 위치하며 동해와 접해 있는 포항은 듬직하고 아름다운 바다와 천혜자연 그리고 도심의 풍경을 함께 즐기기 좋은 곳이다. 또한 매력적인 바다 일출까지 어느 하나 빼놓을 수 없는 치명적인 매력을 선물한다. 특히 숨은 비경과 알짜 관광 명소가 다양해 꼭 들러볼만한 여행지로 손꼽힌다.  ※ 하단의 지도를 확대하여 코스별 상세 위치를 확인할 수 있습니다. 지도상의 코스가 겹치는 경우 지도를 확대하여 확인해주세요. (원하는 위치에서 마우스 휠 또는 손가락을 이용하여 지도 확대보기가 가능합니다.)",24,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a45204d1-0da7-45fa-b6f0-78d76a74fbd1,5,https://korean.visitkorea.or.kr/detail/cs_detail_cos.do?cotid=d95fca17-c83c-4c80-a592-753bd8165321&big_category=C01&mid_category=C0114&big_area=35
24,"동해안일주해안도로(강릉), 등뼈를 타고 달리다!",코스 총거리 : 약 65km,"동해안일주해안도로는 총길이 500km가 넘는 국도 7호선 드라이브 코스로 동해바다의 깊고 푸른 길과 함께 한다. 동해안일주해안도로는 한반도 우측인 동해 라인의 아름다운 바다도시들을 두루 거치는 코스로 고성부터 시작해서 속초, 양양, 강릉, 동해, 삼척, 울진, 영덕을 거처 포항, 울산, 부산까지 이른다. 이중 강릉은 우리나라의 척추 역할을 하는 백두대간과 동해바다를 사이에 두고 있고 아름다운 자연과 예술, 건축, 문화유산이 어우러진 곳이다. 또 예향(禮鄕:신사임당, 허난설헌), 솔향(松鄕:대관령, 정동진), 문향(文鄕:이이 오죽헌, 허균, 초당생가터), 선향(禪鄕:보현사), 수향(壽鄕:강릉단오제)의 도시로도 알려져 있으며 담백하고 선명하며 멋스러움이 가득한 여행지로 인기가 높다.  ※ 하단의 지도를 확대하여 코스별 상세 위치를 확인할 수 있습니다. 지도상의 코스가 겹치는 경우 지도를 확대하여 확인해주세요. (원하는 위치에서 마우스 휠 또는 손가락을 이용하여 지도 확대보기가 가능합니다.)",25,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=de18dd9a-21a6-4976-8e8a-274cb7a9bed2,2,https://korean.visitkorea.or.kr/detail/cs_detail_cos.do?cotid=deb7603c-932e-4e09-83a2-eb1bc5c6842a&big_category=C01&mid_category=C0114&big_area=32
25,"동해안일주해안도로(삼척), 등뼈를 타고 달리다!",코스 총거리 : 약 55km,"동해안일주해안도로는 총길이 500km가 넘는 국도 7호선 드라이브 코스로 동해바다의 깊고 푸른 길과 함께 한다. 동해안일주해안도로는 한반도 우측인 동해 라인의 아름다운 바다도시들을 두루 거치는 코스로 고성부터 시작해서 속초, 양양, 강릉, 동해, 삼척, 울진, 영덕을 거처 포항, 울산, 부산까지 이른다. 이중 동해안 최남단에 위치한 삼척은 태백산맥과 구불구불한 해안도로 그리고 깊고 푸른 동해 바다 를 가진 청정 도시이다. 특히 삼척은 최근 동해안의 가볼만한 도시로 급부상할 만큼 인기가 좋은 곳으로 볼거리와 즐길 거리가 넘쳐나는 매력적인 곳이다.  ※ 하단의 지도를 확대하여 코스별 상세 위치를 확인할 수 있습니다. 지도상의 코스가 겹치는 경우 지도를 확대하여 확인해주세요. (원하는 위치에서 마우스 휠 또는 손가락을 이용하여 지도 확대보기가 가능합니다.)",26,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f8ba52a9-866d-4d5c-9a20-deb8f6d546af,2,https://korean.visitkorea.or.kr/detail/cs_detail_cos.do?cotid=f8c491ec-c5e1-4fe6-ab64-dfea26ed3b3d&big_category=C01&mid_category=C0114&big_area=32
26,700리 해안의 풍광을 따라 달리는 지상 최고의 드라이브,코스 총거리 : 28.96km,"우리나라에서 제주도 다음으로 큰 섬인 거제도에 가면 제일 먼저 해안도로를 달려보길 권한다. 700리 해안 곳곳에는 깜장 몽돌, 눈부신 모래밭, 꼬불꼬불 해안선을 따라 점점이 흩어진 섬들이 결정을 이루고 있다. 거제 여행의 하이라이트를 놓치지 말자.",27,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2216f107-0cc3-4066-a3c0-cf254ceaf6eb,5,https://korean.visitkorea.or.kr/detail/cs_detail_cos.do?cotid=e2a1074a-5490-4d4d-bc19-61608c9c1018&big_category=C01&mid_category=C0114&big_area=36
27,"국도 34호선, 고즈넉한 오십천 드라이브스루!",코스 총거리 : 약 14.3km,"오십천 드라이브코스는 국도 34호선 영덕 신양 삼거리에서 지방도 69호선을 다시 갈아타고 옥계계곡까지 이르는 구간이다. 약 14.3km의 짧은 거리지만 영덕의 자연을 함축적으로 보여주는 그림 같은 풍경으로 가득하다. 특히 봄에는 매화길로 살짝 일탈(?)을 하면 아름답고 화려한 매화를 감상할 수 있고 여름에서 가을로 접어든 길목에는 사과, 포도, 복숭아밭과 붉은 백일홍까지 덤으로 만날 수 있다. ㆍ코스 정보 : 영덕 신양 삼거리→산성계곡생태공원→옥계계곡(약 14.3km)  ※ 하단의 지도를 확대하여 코스별 상세 위치를 확인할 수 있습니다. 지도상의 코스가 겹치는 경우 지도를 확대하여 확인해주세요. (원하는 위치에서 마우스 휠 또는 손가락을 이용하여 지도 확대보기가 가능합니다.)",28,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=70d30423-fcc3-42c5-9139-04842a4bc5e2,5,https://korean.visitkorea.or.kr/detail/cs_detail_cos.do?cotid=f0f15efe-79a6-4a69-b525-4627ba9b4701&big_category=C01&mid_category=C0114&big_area=35
28,내장산 오색단풍길,코스 총거리 : 약 9km,"내장산오색단풍길은 가을이 오면 단풍으로 온통 붉게 물든다. 화려하게 빛나는 가을 단풍을 보기 위해 수많은 단풍객, 등산객, 드라이브객 등이 찾지만 코로나19 시대 내장산오색단풍길 관람은 드라이브스루가 제격이다. 내장산의 부드러운 능선을 따라 이어진 약 8.4km의 단풍로드는 국도 29호선과 국지도 49호선을 거쳐 정읍시 내장동 부전사거리부터 내장산 탐방안내소까지 이어지는 길로 오롯이 단풍만을 볼 수 있다. ㆍ코스 정보 : 전북 정읍시 내장동 부전제삼거리~내장사탐방안내소(약 9km)  ※ 하단의 지도를 확대하여 코스별 상세 위치를 확인할 수 있습니다. 지도상의 코스가 겹치는 경우 지도를 확대하여 확인해주세요. (원하는 위치에서 마우스 휠 또는 손가락을 이용하여 지도 확대보기가 가능합니다.)",29,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bca05b4a-13fe-49c5-8628-bb596a130329,6,https://korean.visitkorea.or.kr/detail/cs_detail_cos.do?cotid=03ebf38c-6ab3-4611-94f0-4fd147712d7e&big_category=C01&mid_category=C0114&big_area=37
