Car Information
2023 현대 뉴 쏘나타 하이브리드(DN8)
2018 페라리 포르토피노
2019 쉐보레 타호
2020 폭스바겐 골프(8세대)
2024 제네시스 GV60
2024 포르쉐 718 카이맨(2세대)
2024 포르쉐 마칸
2023 동풍소콘 마사다 트럭
2023 벤츠 G클래스(2세대)
2022 랜드로버 디펜더
2023 캐딜락 CT5-V 블랙윙
2023 마이브 마이브 M1
2019 아우디 SQ2
2023 아우디 S4(5세대)
2024 쉐보레 콜로라도(GMT31XX-2)
2020 부가티 센토디에치
2024 미니 미니 클럽맨(2세대)
2023 아우디 A3(4세대)
2019 Chevrolet 실버라도
2024 BMW 3시리즈(7세대)
2020 롤스로이스 컬리넌
2024 링컨 노틸러스(2세대)
2024 기아 봉고3 EV
2019 벤츠 A클래스(4세대)
2019 토요타 코롤라(12세대)
2024 로터스 엘레트라
2023 쉐보레 타호
2024 볼보 EX30
2020 현대 뉴 i30(PD)
2023 아우디 SQ5(2세대)
2018 스즈키 짐니
2024 미니 미니 컨버터블(3세대)
2024 볼보 S90
2024 랜드로버 레인지로버 이보크(2세대)
2019 BMW Z4(3세대)
2024 기아 뉴 EV6
2022 캐딜락 CT4-V 블랙윙
2020 볼보 XC40 리차지
2019 람보르기니 우라칸
2024 기아 뉴 셀토스
2025 르노코리아 그랑 콜레오스
2020 링컨 에비에이터(2세대)
2024 벤츠 CLA(2세대)
2023 롤스로이스 팬텀 시리즈2(8세대)
2023 벤츠 EQE
2024 BMW X1(3세대)
2025 랜드로버 레인지로버 벨라
2020 페라리 로마
2018 BMW X2
2018 볼보 V60(2세대)
2024 벤츠 S클래스(7세대)
2022 이스즈 D-맥스
2023 벤츠 S클래스(7세대)
2024 BMW 7시리즈(7세대)
2023 벤츠 E클래스(5세대)
2024 제네시스 일렉트리파이드 GV70
2020 코닉세그 제스코
2025 마세라티 그란카브리오(2세대)
2019 포르쉐 마칸
2025 르노코리아 아르카나 하이브리드
2024 디피코 뉴 포트로
2023 현대 베뉴
2024 볼보 XC40 리차지
2024 포르쉐 카이엔(3세대)
2024 BMW X6 M(3세대)
2022 대창모터스 다니고3
2023 포드 익스플로러(6세대)
2024 테슬라 사이버트럭
2024 기아 스포티지(NQ5)
2023 BMW M5(6세대)
2024 BMW 5시리즈(8세대)
2022 맥라렌 아투라
2024 현대 코나 하이브리드(SX2)
2019 애스턴마틴 밴티지
2023 아우디 S7(2세대)
2021 랜드로버 레인지로버(4세대)
2024 롤스로이스 스펙터
2024 BMW i4
2024 BMW iX1
2023 렉서스 UX
2024 기아 스포티지 하이브리드(NQ5)
2019 벤츠 G클래스(2세대)
2024 캐딜락 리릭
2024 KGM 뉴 토레스
2020 로터스 에비자
2023 페라리 296 GTS
2021 아우디 SQ5(2세대)
2025 마세라티 그란투리스모(2세대)
2024 현대 코나 일렉트릭(SX2)
2024 기아 뉴 K3(BD)
2024 제네시스 G90(RS4)
2020 볼보 S60(3세대)
2024 기아 K8 하이브리드(GL3)
2023 폭스바겐 ID.4
2024 벤츠 GLC(3세대)
2024 미니 미니 컨트리맨(3세대)
CL M&S
2024 KGM 뉴 렉스턴 스포츠 칸
2023 폭스바겐 투아렉(3세대)
2023 마세라티 그레칼레
2023 벤츠 마이바흐 GLS(3세대)
2024 기아 K8(GL3)
2024 현대 넥쏘
2024 볼보 V60 크로스 컨트리(2세대)
2018 지프 체로키(5세대)
2025 벤츠 GLA(2세대)
2024 기아 뉴 쏘렌토(MQ4)
2018 벤츠 A클래스(4세대)
2019 폴스타 폴스타1
2019 캐딜락 XTS
2024 벤츠 EQE SUV
2024 기아 모하비(HM)
2023 포드 익스페디션(4세대)
2020 캐딜락 CT4-V
2024 기아 뉴 K5 하이브리드(DL3)
2023 아우디 A5(2세대)
2024 폭스바겐 제타(7세대)
2023 아우디 Q2
2018 아우디 RS5(2세대)
2019 포드 레인저(1세대)
2022 페라리 SF90 스파이더
2023 아우디 A8(4세대)
2023 지리 쎄아
2022 애스턴마틴 DBX
2024 아우디 RS3(4세대)
2019 포르쉐 카이엔(3세대)
2024 KGM 뉴 티볼리 에어
2021 벤츠 E클래스(5세대)
2023 아우디 RS5(2세대)
2019 현대 뉴 투싼
2024 현대 뉴 투싼 하이브리드(NX4)
2023 벤츠 CLA(2세대)
2020 랜드로버 레인지로버 이보크(2세대)
2020 페라리 812 GTS
2023 테슬라 모델 S
2022 람보르기니 우라칸
2023 벤츠 마이바흐 S클래스(7세대)
2024 벤츠 G클래스(2세대)
2024 테슬라 모델 3
2024 아우디 A5(2세대)
2019 닛산 리프(2세대)
2018 폭스바겐 티록
2024 폭스바겐 골프(8세대)
2019 폭스바겐 티록
2024 아우디 RS7(2세대)
2024 캐딜락 XT6
2024 현대 포터2
2020 푸조 208(2세대)
2018 폭스바겐 투아렉(3세대)
2024 현대 ST1
2023 포드 브롱코
2020 DS DS9
2024 미니 미니 컨트리맨(2세대)
2024 BMW i5
2023 마세라티 MC20
2024 포드 머스탱(7세대)
2024 푸조 2008(2세대)
2023 렉서스 RZ
2018 포르쉐 718 카이맨(2세대)
2017 기아 프로씨드
2024 KGM 토레스 EVX
2024 랜드로버 레인지로버(5세대)
2021 볼보 XC90(2세대)
2023 푸조 308(3세대)
2023 제네시스 일렉트리파이드 G80(RG3)
2020 캐딜락 CT5-V
2021 DS DS7 크로스백
2024 BMW iX
2024 페라리 로마 스파이더
2023 아우디 A4(5세대)
2024 벤츠 SL(7세대)
2024 아우디 Q5(2세대)
2024 기아 뉴 모닝(JA)
2023 지프 글래디에이터
2024 BMW X4(2세대)
2024 토요타 GR 수프라(5세대)
2019 지프 컴패스(2세대)
2024 BMW Z4(3세대)
2024 링컨 코세어
2023 벤츠 GLS(3세대)
2019 폭스바겐 티크로스
2022 로터스 에미라
2018 포르쉐 718 박스터(3세대)
2024 아우디 SQ7
2023 현대 캐스퍼
2018 재규어 XF(2세대)
2018 벤츠 X클래스
2024 벤츠 E클래스(6세대)
2020 폭스바겐 ID.4
2024 볼보 C40 리차지
2024 현대 아이오닉 5 N
2024 푸조 3008(2세대)
2022 아우디 RS e-트론 GT
2023 아우디 S6(8세대)
2024 폴스타 폴스타 2
2019 폴스타 폴스타 2
2020 이베코 뉴 데일리 밴
2024 기아 뉴 쏘렌토 하이브리드(MQ4)
2019 기아 텔루라이드
2018 BMW 2시리즈 그란 투어러
2023 마세라티 르반떼
2023 링컨 네비게이터(4세대)
2021 페라리 SF90 스트라달레
2022 르노코리아 트위지
2024 포르쉐 파나메라(3세대)
2022 마세라티 콰트로포르테(6세대)
2024 BMW X2(2세대)
2020 BMW X1(2세대)
2025 현대 뉴 아반떼 하이브리드(CN7)
2024 현대 싼타페(MX5)
2023 아우디 Q8
2023 현대 뉴 쏘나타(DN8)
2023 현대 뉴 마이티
2024 현대 뉴 투싼(NX4)
2023 아우디 S3(4세대)
2019 현대 45
2024 비야디 T4K
2022 애스턴마틴 DB11
2024 벤틀리 플라잉스퍼(3세대)
2024 BMW X7
2024 BMW i7
2024 볼보 S60(3세대)
2020 벤츠 CLA(2세대)
2024 벤츠 GLS(3세대)
2023 아우디 A6(8세대)
2023 벤츠 EQS SUV
2023 렉서스 RX(5세대)
2024 BMW X3(3세대)
2021 아우디 S5(2세대)
2023 테슬라 모델 X
2023 현대 쏠라티
2020 폭스바겐 ID.3
2024 볼보 XC90(2세대)
2024 현대 코나(SX2)
2024 미니 미니 컨트리맨 일렉트릭(3세대)
2022 푸조 208(2세대)
2023 벤츠 SL(7세대)
2024 폭스바겐 티구안(2세대)
2024 현대 뉴 쏘나타(DN8)
2021 테슬라 모델 X
2020 포드 트랜짓
2023 람보르기니 우루스
2024 벤츠 A클래스(4세대)
2023 토요타 하이랜더(4세대)
2024 BMW XM
2025 현대 그랜저 하이브리드(GN7)
2025 벤츠 EQB
2024 테슬라 모델 Y
2025 현대 뉴 아반떼(CN7)
2025 BMW Z4(3세대)
2024 벤츠 GLA(2세대)
2021 맥라렌 765LT
2019 부가티 디보
2024 이네오스 그레나디어
2024 기아 뉴 K9(RJ)
2024 BMW 8시리즈(2세대)
2024 기아 뉴 카니발(KA4)
2022 아우디 R8(2세대)
2024 벤츠 AMG GT
2023 아우디 RSQ8
2023 포르쉐 파나메라(2세대)
2024 볼보 XC60(2세대)
2024 기아 뉴 레이 EV
2021 페라리 포르토피노 M
2024 페라리 12칠린드리 스파이더
2018 아우디 e-트론 GT 컨셉트
2021 롤스로이스 고스트(2세대)
2024 BMW M3(6세대)
2023 비야디 T4K
2022 애스턴마틴 DBS
2019 BMW 3시리즈(7세대)
2024 현대 스타리아 하이브리드
2024 아우디 SQ8 e-트론
2023 푸조 2008(2세대)
2018 동풍소콘 글로리 580
2024 BMW X3 M
2024 토요타 알파드(4세대)
2017 제네시스 GV80
2024 기아 니로 플러스
2024 렉서스 LC
2018 BMW Z4(3세대)
2023 마세라티 MC20 첼로
2019 폭스바겐 투아렉(3세대)
2024 아우디 RS6(8세대)
2023 동풍소콘 마사다 밴
2024 KGM 코란도(C300)
2024 렉서스 LS(5세대)
2019 BMW X2
2024 BMW 2시리즈(2세대)
2024 벤츠 EQB
2024 BMW X5(4세대)
2018 벤틀리 컨티넨탈(3세대)
2024 랜드로버 디스커버리
2024 토요타 GR86
2022 볼보 XC90(2세대)
2024 BMW X4 M
2024 랜드로버 디펜더
2024 현대 뉴 팰리세이드
2019 애스턴마틴 DB11
2023 제네시스 뉴 G70
2024 벤츠 EQA
2019 볼보 V60 크로스 컨트리(2세대)
2024 미니 미니 해치(3세대)
2019 닛산 무라노(3세대)
2024 벤츠 EQE
2025 현대 그랜저(GN7)
2024 대창모터스 다니고 EV
2024 미니 미니 쿠퍼 일렉트릭(4세대)
2023 제네시스 뉴 G70 슈팅 브레이크
2023 폭스바겐 아테온
2021 기아 EV6
2023 아우디 Q5(2세대)
2024 벤츠 C클래스(5세대)
2019 지프 체로키(5세대)
2024 BMW X6(3세대)
2019 벤츠 GLB
2024 토요타 프리우스(5세대)
2023 지프 레니게이드
2024 기아 봉고3 트럭
2019 페라리 488 피스타 스파이더
2019 혼다 시빅(10세대)
2022 아우디 e-트론 GT
2023 페라리 푸로산게
2023 캐딜락 에스컬레이드(5세대)
2019 아우디 R8(2세대)
2023 기아 EV9
2025 토요타 크라운
2024 BMW 1시리즈(3세대)
2024 BMW X5 M(3세대)
2023 벤츠 EQS
2024 볼보 V90 크로스 컨트리
자동차
2018 재규어 F-페이스
2019 지프 레니게이드
2024 기아 뉴 레이
2021 에디슨EV 이브이 제타
2024 기아 뉴 K5(DL3)
2019 벤츠 B클래스(3세대)
2024 현대 뉴 카운티
2024 벤츠 마이바흐 S클래스(7세대)
2023 현대 파비스
2025 르노코리아 그랑 콜레오스 하이브리드
2024 현대 싼타페 하이브리드(MX5)
2023 DS DS7
2024 혼다 어코드(11세대)
2019 포르쉐 파나메라(2세대)
2024 맥라렌 750S
2025 쉐보레 트랙스 크로스오버(9BQC)
2024 토요타 RAV4(5세대)
2024 르노코리아 마스터
2023 벤츠 EQE SUV
2024 혼다 파일럿(4세대)
2018 BMW 6시리즈 그란 투리스모(4세대)
2018 현대 i30 N
2018 벤츠 S클래스(6세대)
2018 볼보 XC60(2세대)
2018 재규어 E-페이스
2017 BMW 8시리즈(2세대)
2017 혼다 클래리티
2017 아우디 Q8
2017 폭스바겐 ID 버즈
2018 BMW 4시리즈(1세대)
2018 아우디 SQ5(2세대)
2017 르노코리아 클리오
2018 토요타 캠리(8세대)
2017 이스즈 D-맥스
2018 BMW X3(3세대)
2017 혼다 NSX
2017 폭스바겐 골프(7세대)
2018 폭스바겐 아틀라스
2018 알파로메오 스텔비오
2016 재규어 I-페이스
2016 벤츠 X클래스
2017 벤츠 마이바흐 S클래스(6세대)
2017 푸조 301
2017 미니 미니 컨트리맨(2세대)
2017 BMW 5시리즈(7세대)
2017 페라리 J50
2017 랜드로버 디스커버리
2017 르노 조에
2016 BMW X2
2016 폭스바겐 ID
2017 스코다 코디악
2017 아우디 Q5(2세대)
2016 KGM LIV-2
2016 현대 RN30
2017 아우디 RS3
2016 벤츠 제네레이션 EQ
2017 벤츠 AMG GT
2017 볼보 V90 에스테이트
2017 혼다 시빅(10세대)
2017 아우디 Q3(1세대)
2017 닛산 로그(2세대)
2017 볼보 V90 크로스 컨트리
2017 르노 메간
2016 벤츠 비전 밴
2017 현대 뉴 i10
2017 기아 뉴 프라이드(UB)
2017 애스턴마틴 AM-RB 001
2016 롤스로이스 고스트(1세대)
2017 토요타 C-HR
2017 시트로엥 C3
2017 르노 클리오
2017 아우디 S5(2세대)
2017 마세라티 콰트로포르테(6세대)
2016 현대 RM16
2017 포르쉐 파나메라(2세대)
2017 페라리 라페라리
2017 아우디 올로드콰트로(7세대)
2016 아우디 A6(7세대)
2017 르노 콜레오스
2016 시트로엥 DS4 크로스백
2017 아우디 TT(3세대)
2017 아우디 SQ7
2017 아우디 A5(2세대)
2017 닛산 킥스
2016 기아 텔루라이드
2016 스코다 비전S
2017 벤츠 GLC(2세대)
2017 벤틀리 뮬산
2016 르노 탈리스만 에스테이트
2017 테슬라 모델 3
2017 닛산 GT-R
2016 아우디 A8(3세대)
2017 포르쉐 911(7세대)
2017 부가티 시론
2017 마쯔다 MX-5 RF
2016 제네시스 뉴욕 컨셉트
2017 기아 뉴 K5(JF)
2017 아우디 올로드콰트로(5세대)
2016 르노 클리오
2016 아우디 h-트론
2017 인피니티 Q60(2세대)
2016 아우디 RSQ3
2016 캐딜락 CT6
2017 아우디 Q2
2017 람보르기니 센테나리오
2017 벤츠 E클래스(5세대)
2016 인피니티 QX30
2016 피아트 124 스파이더
2016 벤츠 SLC(3세대)
2016 마쯔다 CX-3
2016 마쯔다 마쯔다3
2016 마쯔다 마쯔다6
2017 링컨 MKZ(2세대)
2016 마쯔다 CX-5
2017 볼보 S90
2016 스코다 수퍼브
2015 닛산 2020 비전 그란 투리스모
2016 포르쉐 마칸
2015 마쯔다 MX-5 스파이더
2016 혼다 클래리티
2015 렉서스 LF-FC
2015 마쯔다 RX-비전
2015 토요타 S-FR
2015 마쯔다 MX-5 스피드스터
2016 벤츠 GLS(2세대)
2016 포드 포커스(3세대)
2016 미니 미니 컨버터블(3세대)
2016 테슬라 모델 X
2016 랜드로버 레인지로버 이보크(1세대)
2016 BMW M4(1세대)
2016 르노 메간
2016 아우디 S4(5세대)
2015 포르쉐 미션 E
2016 쉐보레 볼트
2016 혼다 시빅(10세대)
2016 현대 i20 액티브
2016 인피니티 Q30
2015 현대 N 2025 비전 그란 투리스모
2016 벤츠 A클래스(3세대)
2016 폭스바겐 티구안(2세대)
2016 아우디 A4(5세대)
2016 렉서스 LX(3세대)
2016 벤츠 S클래스(6세대)
2016 피아트 500
2015 쉐보레 SS
2016 르노 탈리스만
2016 BMW 7시리즈(6세대)
2017 쉐보레 카마로(6세대)
2016 알파로메오 줄리아
2017 쉐보레 뉴 크루즈(J400)
2015 혼다 S660
2015 르노코리아 트위지
2016 BMW X1(2세대)
2015 푸조 308(2세대)
2016 BMW 3시리즈(6세대)
2015 아우디 A1
2016 폭스바겐 트랜스포터
2015 현대 엔듀로
2015 폭스바겐 C 쿠페
2013 폭스바겐 디자인 비전 GTI
2015 포르쉐 박스터(3세대)
2016 맥라렌 540C
2016 BMW X5(3세대)
2016 아우디 Q7(2세대)
2015 벤츠 GLC
2016 렉서스 ES(6세대)
2015 렉서스 LF-SA
2015 르노코리아 에스파스
2015 기아 KX3
2014 폭스바겐 티록
2015 시트로엥 C4 칵투스
2014 르노 이오랩
2014 마세라티 알피에리
2015 기아 노보
2015 KGM XAV
2015 렉서스 RC
2015 애스턴마틴 벌칸
2016 폭스바겐 샤론
2015 인피니티 QX30
2016 아우디 R8(2세대)
2016 폭스바겐 투란
2016 BMW 2시리즈 그란 투어러
2015 폭스바겐 스포트 쿠페
2016 람보르기니 아벤타도르
2015 혼다 시빅(9세대)
2015 기아 스포트스페이스
2015 마쯔다 MX-5
2015 BMW 1시리즈(2세대)
2016 아큐라 NSX
2015 폭스바겐 크로스 쿠페
2016 포드 GT
2015 현대 싼타크루즈
2015 벤츠 G클래스
2015 포르쉐 카이맨(2세대)
2015 BMW 6시리즈(3세대)
2016 볼보 S60 크로스 컨트리(2세대)
2015 마쯔다 마쯔다2
2015 알파로메오 4C
2015 인피니티 Q60
2015 벤츠 F015 럭셔리 인 모션
2014 벤틀리 그랜드 컨버터블
2015 페라리 FXX-K
2016 벤츠 GLE(3세대)
2015 벤츠 CLA(1세대)
2014 렉서스 LF-C2
2015 아우디 Q7(2세대)
2014 미니 슈퍼레제라 비전
2014 인피니티 Q80 인스피레이션
2015 포르쉐 911(7세대)
2015 토요타 미라이
2015 벤츠 V클래스
2015 벤츠 마이바흐 S클래스(6세대)
2014 폭스바겐 샤론
2015 페라리 F60 아메리카
2014 아우디 프롤로그
2015 피아트 500X
2015 현대 H350
2015 폭스바겐 폴로(5세대)
2016 벤츠 C클래스(4세대)
2014 람보르기니 아스테리온
2015 BMW 2시리즈(1세대)
2014 애스턴마틴 DB9
2015 벤츠 AMG GT
2014 애스턴마틴 라피드
2015 현대 뉴 i20
2014 KGM XIV-에어
2015 재규어 F-타입
2015 폭스바겐 골프(7세대)
2015 아우디 A3(3세대)
2015 미니 미니 컨트리맨(1세대)
2015 스마트 포포(2세대)
2015 볼보 XC90(2세대)
2005 미니 미니 해치(1세대)
2015 미니 미니 페이스맨
2003 마쯔다 RX-8
2015 랜드로버 디스커버리 스포츠
2014 벤틀리 컨티넨탈(2세대)
2015 푸조 508(1세대)
2015 스마트 포투(3세대)
2015 미니 미니 해치(3세대)
2017 폭스바겐 파사트(7세대)
2014 다이하쓰 미라
2015 벤츠 CLS(2세대)
2009 벤츠 S클래스(5세대)
2014 다이하쓰 탄토
2014 다이하쓰 코펜
2014 아우디 TT 오프로드
2013 르노코리아 이니셜 파리
2015 BMW X6(2세대)
2013 캐딜락 엘미라지
2014 쉐보레 이쿼녹스
2011 토요타 펀 7
2014 BMW 비전 퓨처 럭셔리
2014 닛산 라니아
2014 벤츠 쿠페 SUV
2014 기아 K3S
2014 현대 인트라도
2014 아우디 A6(7세대)
2014 포르쉐 박스터(3세대)
2014 혼다 시빅(9세대)
2015 닛산 무라노(3세대)
2014 푸조 이그졸트
2014 시트로엥 DS 5LS
2014 벤틀리 뮬산
2014 현대 iX25
2014 포르쉐 카이맨(2세대)
2014 맥라렌 650S
2014 코닉세그 원:1
2014 미니 미니 클럽맨(2세대)
2014 쉐보레 임팔라
2014 토요타 알파드
2014 토요타 아이고
2014 시트로엥 C4 칵투스
2014 지프 레니게이드
2014 BMW X4(1세대)
2014 르노 트윙고
2014 포드 포커스(3세대)
2014 폭스바겐 타이군
2014 BMW X3(2세대)
2014 아우디 S1
2014 KGM XLV
2014 폭스바겐 아이비틀
2015 아우디 TT(3세대)
2014 BMW 2시리즈 액티브 투어러
2014 푸조 108
2014 시트로엥 C1
2014 토요타 오리스
2014 스바루 레거시(6세대)
1999 마쯔다 RX-7
2014 포드 F시리즈
2014 GMC 유콘
2014 GMC 아카디아
2015 GMC 캐년
2014 미쓰비시 i
2015 GMC 유콘
2015 GMC 시에라
2014 닛산 스포트 세단
2014 아우디 올로드 슈팅 브레이크
2014 맥라렌 P1
2014 테슬라 모델 S
2014 기아 GT4 스팅어
2014 GMC 터레인
2015 크라이슬러 200(2세대)
2014 토요타 FT-1
2014 맥라렌 MP4-12C
2014 GMC 시에라
2014 볼보 XC 쿠페
2014 시트로엥 C4 피카소(2세대)
2014 스바루 임프레자(4세대)
2014 현대 밍투
2014 아우디 A3(3세대)
2013 토요타 FCV
2014 미니 미니 해치(3세대)
2015 포드 머스탱(6세대)
2014 미아일렉트릭 미아
2013 닛산 IDx 프리플로우
2014 렉서스 RC
2014 BMW i8
2014 폭스바겐 골프(7세대)
2014 폭스바겐 업
2013 재규어 C-X17
2015 캐딜락 에스컬레이드(4세대)
2013 혼다 S660
2013 닛산 블레이드글라이더
2014 재규어 XF(1세대)
2014 BMW 2시리즈(1세대)
2014 랜드로버 디스커버리4
2014 쉐보레 카마로
2013 인피니티 Q30
2014 현대 뉴 i10
2013 BMW M4
2013 렉서스 LF-NX
2013 미니 비전
2013 볼보 쿠페
2013 기아 니로
2013 아우디 스포트 콰트로
2014 애스턴마틴 뱅퀴시(2세대)
2014 재규어 C-X75
2013 기아 K2
2014 BMW i3
2014 토요타 코롤라(11세대)
2013 파가니 존다
2014 BMW X5(3세대)
2014 BMW 4시리즈(1세대)
2013 현대 랑둥
2013 현대 HB20
2014 캐딜락 CTS(3세대)
2014 벤츠 S클래스
2013 람보르기니 에고이스타
2014 아우디 RS6(7세대)
2013 부가티 베이론
2014 푸조 308(2세대)
2013 벤츠 GLA
2014 볼보 S60(2세대)
2014 BMW 5시리즈(6세대)
2014 BMW 5시리즈 그란 투리스모(6세대)
2014 포르쉐 파나메라(1세대)
2013 아우디 S3(3세대)
2013 BMW X4(1세대)
2013 KGM LIV-1
2013 기아 캅
2013 랜드로버 레인지로버 스포츠(2세대)
2013 렉서스 LF-LC
2013 현대 HND-9
2013 기아 크로스 GT
2014 지프 체로키(5세대)
2013 아우디 RS7
2013 페라리 세르지오
2013 람보르기니 베네노
2013 KGM SIV-1
2014 링컨 MKC
2013 토요타 i-로드
2013 기아 프로보
2014 폭스바겐 XL1
2013 링컨 MKZ(2세대)
2013 토요타 86
2014 캐딜락 ELR
2013 토요타 코롤라(11세대)
2013 BMW 4시리즈(1세대)
2013 폭스바겐 비틀 카브리올레(3세대)
2014 쉐보레 콜벳 스팅레이
2013 현대 HCD-14 제네시스
2014 인피니티 Q50
2013 폭스바겐 크로스블루
2013 렉서스 IS(3세대)
2013 벤츠 CLA클래스
2013 아우디 크로스레인
2013 기아 프로씨드
2013 닛산 테라
2013 포르쉐 파나메라(1세대)
2013 렉서스 LF-CC
2013 벤츠 에너지포스
2013 쉐보레 스파크
2013 KGM e-XIV
2013 재규어 XF(1세대)
2013 스바루 포레스터(4세대)
2013 쉐보레 트랙스
2013 폭스바겐 골프(7세대)
2013 아우디 R8(1세대)
2013 BMW 액티브 투어러
2013 혼다 어코드(9세대)
2013 기아 K3
2012 혼다 N-Box
2013 포르쉐 911(7세대)
2013 푸조 오닉스
2013 미니 미니 페이스맨
2012 현대 헥사 스페이스
2012 현대 아이오닉
2012 닛산 리프(1세대)
2013 벤츠 CLS클래스(2세대)
2012 KGM XIV-2
2012 닛산 쥬크
2012 BMW i3
2012 기아 GT
2012 애스턴마틴 뱅퀴시(2세대)
2012 르노코리아 캡처
2012 렉서스 RX(3세대)
2012 벤츠 A클래스(3세대)
2013 아우디 A3(3세대)
1976 람보르기니 실루엣
2012 기아 씨드
2012 기아 트랙스터
2012 현대 i20
2012 람보르기니 우루스
2012 벤츠 스타일 쿠페
2012 미쓰비시 트라이톤(4세대)
2012 스마트 포어스
2012 폭스바겐 E-벅스터
2012 쉐보레 쉐보레 트루 140S
2012 아우디 TT(2세대)
2012 애스턴마틴 V12 자가토
2012 푸조 4008
2012 벤츠 E클래스(4세대)
2012 미니 미니 컨트리맨(1세대)
2013 BMW M6(3세대)
