,Order,Destination,Address,Tag,DriveCourseID,PlaceID,latitude,longitude,LocalID,WithID,ViewID,ActiveID
10,4,홍성방조제,충청남도 홍성군 서부면,#관광지 #바다풍경 #방조제 #자연 #충청권 #홍성 #홍성방조제 #홍성여행 #힐링,DC002,P011,36.5803273092588,126.51723142167,LC003,"WT001, WT002, WT003, WT004","VW001, VW002, VW003, VW004, VW006, VW007, VW008","AC001, AC004, AC005, AC006"
11,5,보령방조제,충청남도 보령시 오천면,#관광지 #광천천 #바다풍경 #보령방조제 #빙도 #서해방조제 #오천항 #일몰감상지 #자연 #충남방조제 #충남보령방조제 #충청권 #힐링,DC002,P012,36.4370877555063,126.523424331254,LC003,"WT001, WT002, WT003, WT004","VW001, VW002, VW003, VW004, VW006, VW007, VW008","AC001, AC004, AC005, AC006"
12,6,보령 충청수영성,충청남도 보령시 오천면 충청수영로,#가족여행 #관광지 #교과서속여행 #동백꽃필무렵 #드라마촬영지 #보령문화재 #보령오천성 #보령충청수영성 #사적 #아이와함께 #역사 #역사유적지 #연인과함께 #자연좋은곳 #전망좋은곳 #전통&역사문화체험 #충청수영성 #친구와함께 #한옥&전통가옥,DC002,P013,36.4398663,126.522982,LC003,"WT001, WT002, WT003, WT004","VW001, VW002, VW003, VW004, VW006, VW007, VW008","AC001, AC004, AC005, AC006"
13,7,대천항,충청남도 보령시 대천항중앙길 42,#가족여행 #관광지 #꽃게 #대천항 #대천항수산시장 #대천항연안여객터미널 #보령여행 #서해 #수산물시장 #수산시장 #여객선터미널 #자연 #충청권 #친구와함께 #항구 #해산물,DC002,P014,36.3273037196364,126.50923284561,LC003,"WT001, WT002, WT003, WT004","VW001, VW002, VW003, VW004, VW006, VW007, VW008","AC001, AC004, AC005, AC006"
14,8,안면암(태안),충청남도 태안군 안면읍 여수해길 198-160,#가볼래터 #가족여행 #관광지 #바다 #불교문화 #불교사찰 #사찰 #안면암 #여행구독 #역사 #자연 #자연환경 #종교 #충청권 #태안가볼만한곳 #한국불교 #휴식하기좋은곳,DC002,P015,36.5594227746266,126.373799625052,LC003,"WT001, WT002, WT003, WT004","VW001, VW002, VW003, VW004, VW006, VW007, VW008","AC001, AC004, AC005, AC006"
15,9,고남패총박물관,충청남도 태안군 고남면 안면대로 4270-6,#고남패총박물관 #교과서속여행 #문화시설 #민속생활관 #박물관 #박물관체험학습 #사계절 #실내여행지 #아이와함께 #어린이체험 #체험학습 #충청권 #태안고남패총박물관 #태안문화시설,DC002,P016,36.4203273515545,126.410006354518,LC003,"WT001, WT002, WT003, WT004","VW001, VW002, VW003, VW004, VW006, VW007, VW008","AC001, AC004, AC005, AC006"
16,10,꽃지해수욕장,충청남도 태안군 안면읍 승언리,#2024_여행가는달과함께하는_발도장여행지 #21_22한국관광100선 #23_24한국관광100선 #관광지 #꽃지해수욕장 #바다풍경 #아이와함께 #연인과함께 #자연 #충청권 #친구와함께 #한국관광100선,DC002,P017,36.5051678525711,126.362764309111,LC003,"WT001, WT002, WT003, WT004","VW001, VW002, VW003, VW004, VW006, VW007, VW008","AC001, AC004, AC005, AC006"
17,1,이가리 닻 전망대,경상북도 포항시 북구 청하면 이가리,#2024_여행가는달과함께하는_발도장여행지 #가족과함께 #경치여행 #경치좋은곳 #관광지 #드라마촬영지 #바다경치 #바다내음 #사진찍기 #사진찍기좋은곳 #포항가볼만한곳 #포항여행,DC003,P018,36.1831970427413,129.378664301228,LC006,"WT001, WT002, WT003, WT004, WT005","VW001, VW002, VW003, VW004, VW005, VW008","AC002, AC003, AC004, AC005, AC006"
18,2,스페이스워크,경상북도 포항시 북구 환호공원길 30,#2023 #2023한국관광의별 #2024_여행가는달과함께하는_발도장여행지 #23_24한국관광100선 #가볼래터 #가족과함게 #경상권 #경치좋은곳 #관광지 #남녀노소 #사진찍기 #사진찍기좋은곳 #사진촬영 #여행구독 #일몰명소 #친구와함께 #포항가볼만한곳 #포항여행 #한국관광100선,DC003,P019,36.0677158387722,129.393047439315,LC006,"WT001, WT002, WT003, WT004, WT005","VW001, VW002, VW003, VW004, VW005, VW008","AC002, AC003, AC004, AC005, AC006"
19,3,영일대해수욕장,경상북도 포항시 북구 해안로 95,#관광지 #바다풍경 #여름피서지 #여름휴가 #영일대해수욕장 #자연 #자연속으로 #자연여행 #자연좋은곳 #자연환경 #친구와함께,DC003,P020,36.0572951509316,129.377880175355,LC006,"WT001, WT002, WT003, WT004, WT005","VW001, VW002, VW003, VW004, VW005, VW008","AC002, AC003, AC004, AC005, AC006"
20,4,포항 죽도시장,경상북도 포항시 북구 죽도시장13길 13 포항수산종합어시장,#2014 #2024_여행가는달과함께하는_발도장여행지 #경상권 #나들이 #먹거리 #쇼핑 #쇼핑 부문 #수상내역 #시장맛집 #전통시장 #전통시장투어 #포항죽도시장 #한국관광의별,DC003,P021,36.0364190592957,129.368141459116,LC006,"WT001, WT002, WT003, WT004, WT005","VW001, VW002, VW003, VW004, VW005, VW008","AC002, AC003, AC004, AC005, AC006"
21,5,송도해변(포항),경상북도 포항시 남구 운하로251번길 34-1,#가족여행 #관광지 #바다풍경 #송도해변 #아이와함께 #여름방학가볼만한곳 #여름여행 #여름휴가 #연인과함께 #자연 #친구와함께 #피서여행,DC003,P022,36.0482640218358,129.374323122135,LC006,"WT001, WT002, WT003, WT004, WT005","VW001, VW002, VW003, VW004, VW005, VW008","AC002, AC003, AC004, AC005, AC006"
22,6,포항운하,경상북도 포항시 남구 희망대로 1040,#19-20한국관광100선 #가족과함께 #가족여행 #경상권 #관광지 #나들이 #데이트장소 #바다풍경 #복합문화공간 #시티투어 #운하 #인생샷 #전망대 #전시관 #포항야경 #포항운하 #포항운하관 #포항크루즈,DC003,P023,36.0238726668353,129.377390362095,LC006,"WT001, WT002, WT003, WT004, WT005","VW001, VW002, VW003, VW004, VW005, VW008","AC002, AC003, AC004, AC005, AC006"
23,7,구룡포 일본인 가옥거리,경상북도 포항시 남구 구룡포읍 구룡포길 153-1,#2024_여행가는달과함께하는_발도장여행지 #걷기좋은길 #경상권 #관광지 #구룡포일본인가옥거리 #나홀로여행 #데이트코스 #사계절 #역사관광지 #역사문화재 #역사속 #역사속으로 #역사이야기 #역사탐방 #역사탐험 #연인과함께 #인생샷 #체험,DC003,P024,35.9905388592413,129.561599346426,LC006,"WT001, WT002, WT003, WT004, WT005","VW001, VW002, VW003, VW004, VW005, VW008","AC002, AC003, AC004, AC005, AC006"
24,8,포항 독수리바위,경상북도 포항시 남구 호미곶면 구만길 226,#관광지 #바다경치 #바다내음 #자연발생 #자연속으로 #자연여행 #자연좋은곳 #자연풍경 #자연환경,DC003,P025,36.084895621346,129.557191481132,LC006,"WT001, WT002, WT003, WT004, WT005","VW001, VW002, VW003, VW004, VW005, VW008","AC002, AC003, AC004, AC005, AC006"
25,9,호미곶 해맞이광장,경상북도 포항시 남구 호미곶면 해맞이로150번길 20,#2024_여행가는달과함께하는_발도장여행지 #경상권 #경치좋은곳 #관광지 #기념관 #바다경치 #바다풍경 #사진찍기 #사진찍기좋은곳 #상생의손 #아이와함께 #일출명소 #일출일몰명소 #자연환경 #해맞이 #호미곶 #호미곶해맞이광장,DC003,P026,36.0778379128621,129.568256453096,LC006,"WT001, WT002, WT003, WT004, WT005","VW001, VW002, VW003, VW004, VW005, VW008","AC002, AC003, AC004, AC005, AC006"
26,10,구룡포과메기문화관,경상북도 포항시 남구 구룡포읍 구룡포길117번길 28-8,#가족과함께 #과메기문화관 #문화시설 #아이와함께,DC003,P027,35.9927403032825,129.561799281657,LC006,"WT001, WT002, WT003, WT004, WT005","VW001, VW002, VW003, VW004, VW005, VW008","AC002, AC003, AC004, AC005, AC006"
27,1,삼척항 - 새천년도로변,강원특별자치도 삼척시 삼척항길 196,#레포츠 #밀레니엄도로 #삼척드라이브길 #삼척여행 #삼척해수욕장 #새천년도로 #영화외출 #해안드라이브,DC004,P028,37.436187926718,129.188160340913,LC002,"WT001, WT002, WT003, WT004, WT005","VW001, VW003","AC001, AC002, AC003, AC004, AC005"
28,2,"삼척 중앙시장 (2, 7일)",강원특별자치도 삼척시 중앙로 10-1,#가족여행 #강원권 #기차여행 #나들이 #나홀로여행 #먹거리 #삼척시장 #삼척중앙시장 #새벽시장 #서울근교여행 #쇼핑 #시장맛집 #아이와함께 #연인과함께 #재래시장 #전통시장 #전통시장투어 #친구와함께,DC004,P029,37.4307771234014,129.178555709218,LC002,"WT001, WT002, WT003, WT004, WT005","VW001, VW003","AC001, AC002, AC003, AC004, AC005"
29,3,삼척 덕풍계곡마을,강원특별자치도 삼척시 가곡면 풍곡안길 17-18,#관광지 #농촌마을 #농촌여행 #산책하기좋은곳 #여름피서지 #자연관광지 #자연마을 #자연좋은곳 #자연환경 #체험 #휴식공간 #휴식여행 #휴식하기 #휴식하기좋은곳,DC004,P030,37.1246637709361,129.155968542953,LC002,"WT001, WT002, WT003, WT004, WT005","VW001, VW003","AC001, AC002, AC003, AC004, AC005"
30,4,덕풍계곡,강원특별자치도 삼척시 가곡면 덕풍길 44,#강원권 #강원삼척트레킹 #계곡 #계곡트레킹 #관광지 #덕풍계곡마을 #덕풍계곡트레킹 #삼척계곡 #여름방학 #여름방학가볼만한곳 #자연 #피서,DC004,P031,37.12224076412,129.158367440869,LC002,"WT001, WT002, WT003, WT004, WT005","VW001, VW003","AC001, AC002, AC003, AC004, AC005"
31,5,덕풍계곡 트레킹,강원특별자치도 삼척시 가곡면 풍곡리,#가족여행 #강원권 #레포츠 #삼척여행 #여름가볼만한곳 #여름여행 #트레킹,DC004,P032,37.089033331712,129.163426186393,LC002,"WT001, WT002, WT003, WT004, WT005","VW001, VW003","AC001, AC002, AC003, AC004, AC005"
32,6,삼척초당굴,강원특별자치도 삼척시 근덕면 금계리,#강원권 #관광지 #동굴 #미세먼지탈출_이색동굴여행 #수직동굴 #이색동굴여행 #자연 #천연기념물,DC004,P033,37.3960605898253,129.181112364337,LC002,"WT001, WT002, WT003, WT004, WT005","VW001, VW003","AC001, AC002, AC003, AC004, AC005"
33,1,송지호 해수욕장,강원특별자치도 고성군 죽왕면 심층수길 85,#강원권 #강원도해수욕장 #관광지 #바다내음 #바다풍경 #송지호해수욕장 #여름여행 #자연 #친구와함께 #해수욕 #휴식공간 #휴식여행 #휴식하기좋은곳 #휴양여행 #힐링 #힐링여행,DC005,P034,38.3314818425851,128.526533118031,LC002,"WT001, WT002, WT003, WT004","VW001, VW002, VW003","AC001, AC004"
34,2,이사부길(새천년해안도로),강원특별자치도 삼척시 새천년도로 61-18,#2024_여행가는달과함께하는_발도장여행지 #경치좋은곳 #관광지 #드라이브여행 #드라이브코스 #바다경치 #바다내음 #바다전망 #바다풍경 #연인과함께 #자연여행 #자연좋은곳 #자연풍경 #자연환경 #친구와함께 #해안드라이브,DC005,P035,37.4392643625405,129.187977232141,LC002,"WT001, WT002, WT003, WT004","VW001, VW002, VW003","AC001, AC004"
35,3,"장호해수욕장(장호항, 장호해변)",강원특별자치도 삼척시 근덕면 장호리,#강원_가볼만한곳 #강원권 #강원도_여행지_추천 #관광지 #낚시 #바다 #바다내음 #바다풍경여행 #산불피해지역 #여름피서지 #자연 #장호해변 #체험,DC005,P036,37.2729889714872,129.310409450271,LC002,"WT001, WT002, WT003, WT004","VW001, VW002, VW003","AC001, AC004"
36,4,삼척 해양레일바이크,강원특별자치도 삼척시 근덕면 공양왕길 2,#가족과함께 #강원권 #꿀잼_액티비티 #레포츠 #문화관광자원 부문 #바다풍경 #삼척레포츠 #삼척해양레일바이크 #수상내역 #아이와함께 #연인과함께 #이색체험 #한국관광의별 #해양레일바이크 #해저터널,DC005,P037,37.3236492428741,129.266364805493,LC002,"WT001, WT002, WT003, WT004","VW001, VW002, VW003","AC001, AC004"
37,1,송지호 해수욕장,강원특별자치도 고성군 죽왕면 심층수길 85,#강원권 #강원도해수욕장 #관광지 #바다내음 #바다풍경 #송지호해수욕장 #여름여행 #자연 #친구와함께 #해수욕 #휴식공간 #휴식여행 #휴식하기좋은곳 #휴양여행 #힐링 #힐링여행,DC006,P038,38.3314818425851,128.526533118031,LC002,"WT001, WT002, WT003, WT004","VW001, VW002, VW003, VW004, VW006","AC001, AC002, AC004, AC006"
38,2,백담사,강원특별자치도 인제군 백담로 746 백담사,#가족과함께 #강원권 #관광지 #내설악 #문화관광해설사 #불교 #불교문화 #사찰여행 #역사 #역사관광지 #연중무휴 #오세암 #인제여행 #자연환경 #전통사찰 #종교 #친구와함께 #템플스테이 #한국불교 #휴식공간 #휴식여행 #휴식하기 #휴식하기좋은곳,DC006,P039,38.1643044748974,128.374119290617,LC002,"WT001, WT002, WT003, WT004","VW001, VW002, VW003, VW004, VW006","AC001, AC002, AC004, AC006"
39,3,인제스피디움리조트 서킷,강원특별자치도 인제군 기린면 상하답로 130,#레이싱 #레포츠 #이색체험 #인제스피디움리조트,DC006,P040,38.0026073029496,128.295384285256,LC002,"WT001, WT002, WT003, WT004","VW001, VW002, VW003, VW004, VW006","AC001, AC002, AC004, AC006"
40,4,평화의댐(화천),강원특별자치도 화천군 화천읍 평화로 3481-18,#가족여행 #강원권 #관광지 #아이와함께 #자연 #평화의댐 #화천가볼만한곳,DC006,P041,38.2136611859135,127.846159229875,LC002,"WT001, WT002, WT003, WT004","VW001, VW002, VW003, VW004, VW006","AC001, AC002, AC004, AC006"
41,5,고석정 꽃밭,강원특별자치도 철원군 동송읍 태봉로 1769,#고석정 #관광지 #구절초 #꽃밭 #맨드라미 #백일홍 #사진찍기좋은곳 #철원가볼만한곳 #코스모스 #해바라기,DC006,P042,38.1882273230829,127.295506161815,LC002,"WT001, WT002, WT003, WT004","VW001, VW002, VW003, VW004, VW006","AC001, AC002, AC004, AC006"
42,6,아야진해변,강원특별자치도 고성군 토성면 아야진해변길 157,#가족여행 #강원_가볼만한곳 #강원권 #강원도_여행지_추천 #관광지 #바다풍경 #바다풍경여행 #아야진해변 #여름여행 #연인과함께 #자연 #자연좋은곳 #친구와함께 #피서여행 #휴식공간 #휴식여행 #휴식하기 #휴식하기좋은곳,DC006,P043,38.2765191847584,128.55276096923,LC002,"WT001, WT002, WT003, WT004","VW001, VW002, VW003, VW004, VW006","AC001, AC002, AC004, AC006"
43,7,철원 노동당사,강원특별자치도 철원군 철원읍 금강산로 265,#강원권 #강원도_여행지_추천 #관광지 #노동당사 #역사 #역사공부 #역사관광지 #역사를품은곳 #역사문화재 #역사속 #역사속으로 #역사여행 #역사유적 #역사유적지 #역사이야기 #역사탐험,DC006,P044,38.2552009441858,127.202000967047,LC002,"WT001, WT002, WT003, WT004","VW001, VW002, VW003, VW004, VW006","AC001, AC002, AC004, AC006"
44,8,해산전망대,강원특별자치도 화천군 화천읍 동촌리 산11-7,#경치좋은곳 #관광지 #산책길 #산책하기 #산책하기좋은곳 #자연속으로 #자연여행 #자연좋은곳 #자연풍경 #자연환경 #휴식공간 #휴식여행 #휴식하기 #휴식하기좋은곳,DC006,P045,38.1905004135509,127.816928076441,LC002,"WT001, WT002, WT003, WT004","VW001, VW002, VW003, VW004, VW006","AC001, AC002, AC004, AC006"
45,1,춘천인형극장&인형극박물관,강원특별자치도 춘천시 영서로 3017,#가족과함께 #극장 #문화시설 #상설공연 #소품전시 #아이와함께 #인형극장 #춘천여행,DC007,P046,37.9209224402127,127.720107583956,LC002,"WT001, WT002","VW001, VW002, VW003, VW004","AC001, AC002, AC004"
46,2,소양강처녀상,강원특별자치도 춘천시 영서로 2675,#강원권 #관광지 #소양강처녀상 #연중무휴,DC007,P047,37.8934276815185,127.724325847556,LC002,"WT001, WT002","VW001, VW002, VW003, VW004","AC001, AC002, AC004"
47,3,춘천인형극장&인형극박물관,강원특별자치도 춘천시 영서로 3017,#가족과함께 #극장 #문화시설 #상설공연 #소품전시 #아이와함께 #인형극장 #춘천여행,DC007,P048,37.9209224402127,127.720107583956,LC002,"WT001, WT002","VW001, VW002, VW003, VW004","AC001, AC002, AC004"
48,4,강원특별자치도립화목원,강원특별자치도 춘천시 화목원길 24,#가족여행 #강원권 #강원도립화목원 #관광지 #꽃여행 #박물관 #수목원 #아이와함께 #자연 #자연좋은곳,DC007,P049,37.9226444575207,127.725155972564,LC002,"WT001, WT002","VW001, VW002, VW003, VW004","AC001, AC002, AC004"
49,5,소양강처녀상,강원특별자치도 춘천시 영서로 2675,#강원권 #관광지 #소양강처녀상 #연중무휴,DC007,P050,37.8934276815185,127.724325847556,LC002,"WT001, WT002","VW001, VW002, VW003, VW004","AC001, AC002, AC004"
50,6,제이드가든,강원특별자치도 춘천시 남산면 햇골길 80,#2024_여행가는달과함께하는_발도장여행지 #강원권 #강원도_여행지_추천 #강원도가볼만한곳 #관광지 #드라마촬영지 #수목원 #연중무휴 #자연 #제이드가든수목원 #힐링여행,DC007,P051,37.8327469495872,127.542140775057,LC002,"WT001, WT002","VW001, VW002, VW003, VW004","AC001, AC002, AC004"
51,7,제이드가든,강원특별자치도 춘천시 남산면 햇골길 80,#2024_여행가는달과함께하는_발도장여행지 #강원권 #강원도_여행지_추천 #강원도가볼만한곳 #관광지 #드라마촬영지 #수목원 #연중무휴 #자연 #제이드가든수목원 #힐링여행,DC007,P052,37.8327469495872,127.542140775057,LC002,"WT001, WT002","VW001, VW002, VW003, VW004","AC001, AC002, AC004"
52,8,강원특별자치도립화목원,강원특별자치도 춘천시 화목원길 24,#가족여행 #강원권 #강원도립화목원 #관광지 #꽃여행 #박물관 #수목원 #아이와함께 #자연 #자연좋은곳,DC007,P053,37.9226444575207,127.725155972564,LC002,"WT001, WT002","VW001, VW002, VW003, VW004","AC001, AC002, AC004"
53,9,의암호,강원특별자치도 춘천시 신동면 옛경춘로 114,#경치여행 #경치좋은곳 #낚시 #둘레길 #레고랜드 #레포츠 #붕어 #산책로 #산책하기좋은곳 #얼음낚시 #의암스카이워크 #자전거길 #케이블카 #힐링산책,DC007,P054,37.8374109121196,127.677403902317,LC002,"WT001, WT002","VW001, VW002, VW003, VW004","AC001, AC002, AC004"
54,10,의암호,강원특별자치도 춘천시 신동면 옛경춘로 114,#경치여행 #경치좋은곳 #낚시 #둘레길 #레고랜드 #레포츠 #붕어 #산책로 #산책하기좋은곳 #얼음낚시 #의암스카이워크 #자전거길 #케이블카 #힐링산책,DC007,P055,37.8374109121196,127.677403902317,LC002,"WT001, WT002","VW001, VW002, VW003, VW004","AC001, AC002, AC004"
55,1,파주 DMZ 곤돌라,경기도 파주시 문산읍 임진각로 148-73,#곤돌라 #관광지 #파주 #파주임진각평화곤돌라 #평화,DC008,P056,37.8914503150005,126.740279546575,LC001,"WT001, WT002",VW004,"AC001, AC004"
56,2,파주 장단콩마을,경기도 파주시 군내면 통일촌길 64,#가족과함께 #관광지 #농촌마을 #농촌여행 #농촌체험마을 #농촌체험여행 #아이와함께 #체험 #체험프로그램 #휴식공간 #휴식여행 #휴식하기 #휴식하기좋은곳,DC008,P057,37.9106389800343,126.733603103531,LC001,"WT001, WT002",VW004,"AC001, AC004"
57,3,전곡선사박물관,경기도 연천군 전곡읍 평화로443번길 2,#가족여행 #고고학 #고고학체험 #문화시설 #박물관 #선사박물관 #수도권 #아이와함께 #이색체험 #전곡선사박물관 #전시 #전시관,DC008,P058,38.0106949771142,127.061657458611,LC001,"WT001, WT002",VW004,"AC001, AC004"
58,4,임진강댑싸리공원,경기도 연천군 중면 삼곶리,#2024_여행가는달과함께하는_발도장여행지 #가을추천명소 #관광지 #꽃구경 #꽃구경 #댑싸리공원 #연천가볼만한곳 #연천가볼만한곳 #임진강댑싸리공원,DC008,P059,38.1370138655657,127.01874327138,LC001,"WT001, WT002",VW004,"AC001, AC004"
59,1,안산문화원,경기도 안산시 상록구 석호로 144,#가족여행 #경기권 #무장애 #문화시설 #서울근교여행 #안산문화원 #안산문화학교 #안산민속체험 #안산박물관 #안산시 #안산향토사박물관 #전통문화체험 #지역문화학교 #향토유물전시,DC009,P060,37.2993256853712,126.847631726672,LC001,"WT001, WT002, WT003, WT004","VW001, VW004","AC002, AC004, AC006"
60,2,경기도미술관,경기도 안산시 단원구 동산로 268,#경기도미술관 #남녀노소 #문화시설 #문화예술 #미술관 #미술작품 #복합문화공간 #수도권 #실내관광지 #연인과함께 #열린문화공간 #예술 #전시 #전시/공연 #친구와함께 #현대미술,DC009,P061,37.3250627276111,126.809955311616,LC001,"WT001, WT002, WT003, WT004","VW001, VW004","AC002, AC004, AC006"
61,3,안산갈대습지공원,경기도 안산시 상록구 갈대습지로 76,#가족과함께 #갈대밭데이트코스 #걷기길 #관광지 #데이트코스 #생태관광 #생태자료전시 #수도권 #시화호 #아이와함께 #안산갈대습지공원 #안산공원 #안산체험교육 #연인과함께 #인공습지 #인생샷 #자연,DC009,P062,37.2737227465741,126.839755313316,LC001,"WT001, WT002, WT003, WT004","VW001, VW004","AC002, AC004, AC006"
62,4,최용신기념관,경기도 안산시 상록구 샘골서길 64,#교과서속여행 #근대문화유산 #기념관 #문화시설 #수도권 #애국계몽 #애국심 #애국정신 #역사공부 #역사를품은곳 #역사속 #역사속으로 #역사이야기 #역사탐방 #역사탐험 #체험학습 #최용신기념관,DC009,P063,37.2996184754943,126.862764913936,LC001,"WT001, WT002, WT003, WT004","VW001, VW004","AC002, AC004, AC006"
63,5,성호박물관,경기도 안산시 상록구 성호로 131,#가족과함께 #교육여행 #기념관 #무장애 #문화시설 #박물관 #서울근교여행 #성호기념관 #아이와함께 #유물 #이익,DC009,P064,37.3150752328576,126.859577409527,LC001,"WT001, WT002, WT003, WT004","VW001, VW004","AC002, AC004, AC006"
64,1,백운사(의왕),경기도 의왕시 왕곡로 323,#경치좋은곳 #관광지 #백운산등산코스 #불교 #불교문화 #사찰 #사찰여행 #수도권 #역사 #의왕가볼만한곳 #의왕백운사 #의왕사찰 #자연속으로 #자연환경 #전통사찰 #종교 #한국불교 #휴식공간 #휴식여행 #휴식하기 #휴식하기좋은곳,DC010,P065,37.3499054915944,127.00788604023,LC001,WT002,"VW001, VW002, VW004, VW006","AC001, AC002, AC005"
65,2,송이향한정식,경기도 의왕시 백운로 413,#가족과함께 #간장게장_정식 #더덕구이정식 #맛집 #백암호수 #보리굴비 #불고기정식 #송이향 #송코스 #수도권 #음식 #의왕가볼만한곳 #의왕맛집 #의왕송이향 #의왕시 #의왕한정식 #쭈꾸미볶음_정식 #한식 #한정식,DC010,P066,37.3757798958185,127.002317218207,LC001,WT002,"VW001, VW002, VW004, VW006","AC001, AC002, AC005"
66,3,백운호수,경기도 의왕시 백운로 526,#경치좋은곳 #관광지 #백운사 #백운호수 #수도권 #의왕 #의왕가볼만한곳 #의왕백운사 #의왕사찰 #자연 #호수 #휴양여행 #힐링,DC010,P067,37.3832117467149,127.00075765292,LC001,WT002,"VW001, VW002, VW004, VW006","AC001, AC002, AC005"
67,4,하우현성당,경기도 의왕시 원터아랫길 81-6,#관광지 #교우촌 #문화관광해설사 #수도권 #역사 #역사공부 #역사관광지 #역사를품은곳 #역사문화재 #역사속 #역사속으로 #역사여행 #역사유적 #역사유적지 #역사이야기 #역사탐방 #역사탐험 #의왕8경 #의왕경치좋은곳 #의왕하우현성당 #의왕하우현성당사제관 #종교 #천주교 #천주교성지 #천주교성지순례 #피난처 #하우현성당 #하우현성당사제관,DC010,P068,37.3959762318847,127.023736739476,LC001,WT002,"VW001, VW002, VW004, VW006","AC001, AC002, AC005"
68,5,청계사(경기),경기도 의왕시 청계로 475,#관광지 #문화관광해설사 #사찰 #수도권 #역사 #우담바라꽃 #우담바라사찰 #의왕경치좋은곳 #의왕사찰 #의왕청계사 #의왕추천여행지 #청계산사찰,DC010,P069,37.4120684951383,127.034875225965,LC001,WT002,"VW001, VW002, VW004, VW006","AC001, AC002, AC005"
